t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848982,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848992,1,629,629.000000,629,0.000000,629.000000,629.000000,629.000000,629.000000,629.000000,629.000000
1554849002,1,629,629.000000,629,0.000000,629.000000,629.000000,629.000000,629.000000,629.000000,629.000000
1554849012,3,629,485.895287,277,156.633462,581.000000,629.000000,629.000000,629.000000,629.000000,629.000000
1554849022,3,629,485.895287,277,156.633462,581.000000,629.000000,629.000000,629.000000,629.000000,629.000000
1554849032,4,926,631.777592,277,243.564245,629.000000,926.000000,926.000000,926.000000,926.000000,926.000000
1554849042,4,926,631.777592,277,243.564245,629.000000,926.000000,926.000000,926.000000,926.000000,926.000000
1554849052,5,926,629.638797,277,201.526222,625.000000,629.000000,926.000000,926.000000,926.000000,926.000000
1554849062,5,926,629.638797,277,201.526222,625.000000,629.000000,926.000000,926.000000,926.000000,926.000000
1554849072,5,926,629.638797,277,201.526222,625.000000,629.000000,926.000000,926.000000,926.000000,926.000000
1554849082,5,926,629.638797,277,201.526222,625.000000,629.000000,926.000000,926.000000,926.000000,926.000000
1554849092,5,926,629.638797,277,201.526222,625.000000,629.000000,926.000000,926.000000,926.000000,926.000000
1554849102,6,926,449.555968,159,278.203302,581.000000,625.000000,926.000000,926.000000,926.000000,926.000000
1554849112,6,926,449.555968,159,278.203302,581.000000,625.000000,926.000000,926.000000,926.000000,926.000000
1554849122,6,926,449.555968,159,278.203302,581.000000,625.000000,926.000000,926.000000,926.000000,926.000000
1554849132,6,926,449.555968,159,278.203302,581.000000,625.000000,926.000000,926.000000,926.000000,926.000000
1554849142,6,926,449.555968,159,278.203302,581.000000,625.000000,926.000000,926.000000,926.000000,926.000000
1554849152,7,926,379.493190,159,220.952188,293.000000,581.000000,926.000000,926.000000,926.000000,926.000000
