t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848982,2,59,35.147526,12,23.497356,12.000000,59.000000,59.000000,59.000000,59.000000,59.000000
1554848992,7,59,33.324345,12,14.220132,28.000000,43.000000,59.000000,59.000000,59.000000,59.000000
1554849002,10,735,111.969734,12,222.977093,39.000000,43.000000,735.000000,735.000000,735.000000,735.000000
1554849012,15,735,81.241639,12,177.818404,35.000000,39.000000,735.000000,735.000000,735.000000,735.000000
1554849022,20,735,65.437375,12,149.178640,33.000000,38.000000,59.000000,735.000000,735.000000,735.000000
1554849032,25,735,55.116428,12,129.042576,33.000000,38.000000,59.000000,735.000000,735.000000,735.000000
1554849042,30,735,51.297780,12,113.002037,34.000000,43.000000,49.000000,735.000000,735.000000,735.000000
1554849052,35,735,48.043709,9,100.619876,34.000000,43.000000,64.000000,735.000000,735.000000,735.000000
1554849062,40,735,46.684772,9,90.257440,35.000000,44.000000,62.000000,64.000000,735.000000,735.000000
1554849072,45,735,45.687247,9,82.200973,35.000000,45.000000,89.000000,89.000000,735.000000,735.000000
1554849082,50,735,42.845097,9,74.857932,34.000000,45.000000,64.000000,89.000000,735.000000,735.000000
1554849092,55,735,44.885973,9,69.121231,35.000000,50.000000,89.000000,98.000000,98.000000,735.000000
1554849102,60,735,41.272843,9,63.674112,33.000000,47.000000,89.000000,98.000000,98.000000,735.000000
1554849112,65,735,44.880952,9,61.367805,33.000000,49.000000,98.000000,133.000000,133.000000,735.000000
1554849122,70,735,41.994181,9,56.673579,30.000000,47.000000,98.000000,133.000000,133.000000,735.000000
1554849132,75,735,41.370767,9,53.091068,29.000000,47.000000,96.000000,133.000000,133.000000,735.000000
1554849142,80,735,42.752903,9,49.850294,30.000000,51.000000,96.000000,133.000000,133.000000,735.000000
1554849152,85,735,49.534345,9,53.835359,34.000000,60.000000,133.000000,192.000000,192.000000,735.000000
