t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848968,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848978,5,1511,714.800500,189,617.828798,285.000000,1469.000000,1511.000000,1511.000000,1511.000000,1511.000000
1554848988,10,1667,753.589964,89,660.588790,285.000000,1511.000000,1667.000000,1667.000000,1667.000000,1667.000000
1554848998,13,3982,1082.221140,89,1132.263640,285.000000,1578.000000,3982.000000,3982.000000,3982.000000,3982.000000
1554849008,18,3982,1043.064995,89,960.560107,1356.000000,1469.000000,3982.000000,3982.000000,3982.000000,3982.000000
1554849018,23,3982,814.731604,89,886.330243,285.000000,1400.000000,1667.000000,3982.000000,3982.000000,3982.000000
1554849028,28,3982,728.922942,68,812.997324,285.000000,1356.000000,1667.000000,3982.000000,3982.000000,3982.000000
1554849038,32,3982,696.617026,68,762.970470,305.000000,1356.000000,1578.000000,3982.000000,3982.000000,3982.000000
1554849048,38,3982,647.442279,16,701.506049,305.000000,1186.000000,1578.000000,3982.000000,3982.000000,3982.000000
1554849058,43,3982,650.432790,16,685.091472,305.000000,1262.000000,1511.000000,1667.000000,3982.000000,3982.000000
1554849068,48,3982,648.200597,16,663.032360,305.000000,1262.000000,1469.000000,1667.000000,3982.000000,3982.000000
1554849078,53,3982,646.550715,16,645.031527,333.000000,1186.000000,1446.000000,1578.000000,3982.000000,3982.000000
1554849088,58,3982,715.085221,16,631.276817,435.000000,1322.000000,1446.000000,1578.000000,1667.000000,3982.000000
1554849098,63,3982,655.714886,16,614.139112,305.000000,1262.000000,1446.000000,1578.000000,1667.000000,3982.000000
1554849108,68,3982,656.671127,16,611.780380,293.000000,1267.000000,1414.000000,1511.000000,1667.000000,3982.000000
1554849118,73,3982,664.196463,16,600.750263,305.000000,1267.000000,1511.000000,1667.000000,1667.000000,3982.000000
1554849128,78,3982,673.306141,16,604.917701,293.000000,1322.000000,1523.000000,1667.000000,1667.000000,3982.000000
1554849138,83,3982,659.073924,16,595.180819,293.000000,1322.000000,1523.000000,1667.000000,1667.000000,3982.000000
1554849148,88,3982,694.697224,16,581.224324,356.000000,1267.000000,1523.000000,1667.000000,1667.000000,3982.000000
