t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848968,2,59,36.162525,14,22.497469,14.000000,59.000000,59.000000,59.000000,59.000000,59.000000
1554848978,7,446,155.125890,14,170.497005,52.000000,379.000000,446.000000,446.000000,446.000000,446.000000
1554848988,12,446,101.996150,13,138.070087,46.000000,52.000000,446.000000,446.000000,446.000000,446.000000
1554848998,15,446,103.473414,13,128.941608,46.000000,59.000000,446.000000,446.000000,446.000000,446.000000
1554849008,20,446,79.309710,13,111.727470,45.000000,49.000000,379.000000,446.000000,446.000000,446.000000
1554849018,25,446,66.713271,13,97.439953,33.000000,46.000000,379.000000,446.000000,446.000000,446.000000
1554849028,30,446,56.582679,13,86.880328,33.000000,45.000000,234.000000,446.000000,446.000000,446.000000
1554849038,35,446,50.151230,12,78.017620,33.000000,45.000000,234.000000,379.000000,446.000000,446.000000
1554849048,40,446,48.159119,12,69.912604,33.000000,46.000000,59.000000,379.000000,446.000000,446.000000
1554849058,45,446,43.915854,9,63.672642,33.000000,45.000000,52.000000,379.000000,446.000000,446.000000
1554849068,50,446,43.084772,9,58.285624,33.000000,46.000000,69.000000,234.000000,379.000000,446.000000
1554849078,55,446,40.896351,9,53.669048,33.000000,46.000000,69.000000,234.000000,379.000000,446.000000
1554849088,60,446,40.392100,9,49.693090,33.000000,46.000000,63.000000,234.000000,379.000000,446.000000
1554849098,65,446,38.752140,9,46.117536,31.000000,46.000000,63.000000,69.000000,379.000000,446.000000
1554849108,70,543,54.852006,9,98.416535,33.000000,47.000000,69.000000,543.000000,543.000000,543.000000
1554849118,75,543,52.209702,9,90.838103,33.000000,49.000000,69.000000,543.000000,543.000000,543.000000
1554849128,80,543,50.266848,7,83.985421,33.000000,55.000000,64.000000,543.000000,543.000000,543.000000
1554849138,85,543,46.640892,7,78.014686,33.000000,54.000000,64.000000,446.000000,543.000000,543.000000
1554849148,90,543,41.434461,3,73.046207,27.000000,46.000000,63.000000,379.000000,543.000000,543.000000
