t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554848966,3,4.546493,0.000000,0.000000,0.000000,events/second
1554848976,46,4.298279,4.600000,4.600000,4.600000,events/second
1554848986,83,4.013403,4.395303,4.554540,4.584580,events/second
1554848996,119,3.882431,4.321831,4.535813,4.578059,events/second
1554849006,148,3.640613,4.079252,4.478524,4.558369,events/second
1554849016,180,3.551429,3.859201,4.419862,4.537795,events/second
1554849026,236,3.891367,4.106619,4.455082,4.548405,events/second
1554849036,277,3.920339,4.101127,4.443250,4.543429,events/second
1554849046,322,3.991855,4.226335,4.460956,4.548413,events/second
1554849056,360,3.971226,4.119304,4.429643,4.536850,events/second
1554849066,386,3.835006,3.964110,4.388730,4.522011,events/second
1554849076,427,3.858801,3.977291,4.376313,4.516279,events/second
1554849086,455,3.771245,3.796555,4.324636,4.497315,events/second
1554849096,465,3.559056,3.380667,4.218838,4.459767,events/second
1554849106,510,3.626180,3.507728,4.218275,4.456903,events/second
1554849116,536,3.557662,3.349827,4.161806,4.435264,events/second
1554849126,571,3.554192,3.437485,4.153360,4.429365,events/second
1554849136,619,3.626806,3.538554,4.151583,4.425723,events/second
1554849146,670,3.708826,3.789781,4.185790,4.434260,events/second
