t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848958,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848968,5,1456,1142.734368,89,508.778038,1367.000000,1376.000000,1456.000000,1456.000000,1456.000000,1456.000000
1554848978,10,1456,781.252494,89,583.267640,285.000000,1376.000000,1456.000000,1456.000000,1456.000000,1456.000000
1554848988,15,1514,762.882250,89,591.242220,309.000000,1382.000000,1514.000000,1514.000000,1514.000000,1514.000000
1554848998,18,4676,980.798521,13,1200.462155,309.000000,1382.000000,4676.000000,4676.000000,4676.000000,4676.000000
1554849008,23,4676,718.841520,13,1090.774463,267.000000,1367.000000,4676.000000,4676.000000,4676.000000,4676.000000
1554849018,28,4676,644.505174,11,986.921313,256.000000,1367.000000,1514.000000,4676.000000,4676.000000,4676.000000
1554849028,33,4676,657.340312,11,912.583483,267.000000,1345.000000,1588.000000,4676.000000,4676.000000,4676.000000
1554849038,38,4676,677.793239,11,854.431464,273.000000,1367.000000,1588.000000,4676.000000,4676.000000,4676.000000
1554849048,43,4676,676.649231,11,793.796459,281.000000,1367.000000,1588.000000,1588.000000,4676.000000,4676.000000
1554849058,48,4676,627.660717,11,730.507827,285.000000,1094.000000,1514.000000,1588.000000,4676.000000,4676.000000
1554849068,53,4676,598.598588,11,695.742876,323.000000,1094.000000,1488.000000,1588.000000,4676.000000,4676.000000
1554849078,58,4676,606.482876,11,660.742331,324.000000,927.000000,1488.000000,1588.000000,4676.000000,4676.000000
1554849088,63,4676,567.791056,11,625.299747,324.000000,927.000000,1456.000000,1588.000000,1588.000000,4676.000000
1554849098,68,4676,556.636081,0,605.233414,324.000000,927.000000,1444.000000,1514.000000,1588.000000,4676.000000
1554849108,73,4676,567.505921,0,585.571627,324.000000,927.000000,1430.000000,1514.000000,1588.000000,4676.000000
1554849118,78,4676,610.466446,0,577.366155,393.000000,996.000000,1493.000000,1493.000000,1588.000000,4676.000000
1554849128,83,4676,640.238737,0,586.683790,416.000000,1232.000000,1488.000000,1493.000000,1588.000000,4676.000000
1554849138,88,4676,703.760705,0,591.774546,570.000000,1268.000000,1491.000000,1493.000000,1588.000000,4676.000000
1554849148,93,4676,730.695569,0,596.412016,605.000000,1297.000000,1491.000000,1493.000000,1514.000000,4676.000000
