t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848968,1,7,7.000000,7,0.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000
1554848978,4,872,228.449405,7,371.427124,24.000000,24.000000,872.000000,872.000000,872.000000,872.000000
1554848988,9,872,99.653293,4,256.360448,18.000000,24.000000,872.000000,872.000000,872.000000,872.000000
1554848998,11,872,120.709143,4,244.174938,20.000000,26.000000,872.000000,872.000000,872.000000,872.000000
1554849008,16,981,233.588196,4,339.817432,21.000000,365.000000,981.000000,981.000000,981.000000,981.000000
1554849018,20,981,210.781981,4,304.807009,21.000000,365.000000,981.000000,981.000000,981.000000,981.000000
1554849028,25,981,155.465804,4,273.708127,19.000000,179.000000,872.000000,981.000000,981.000000,981.000000
1554849038,29,981,171.908621,1,309.693032,13.000000,179.000000,969.000000,981.000000,981.000000,981.000000
1554849048,33,981,140.449928,1,286.581978,11.000000,25.000000,969.000000,981.000000,981.000000,981.000000
1554849058,38,981,114.134948,1,258.492565,10.000000,28.000000,969.000000,969.000000,981.000000,981.000000
1554849068,42,981,168.785285,1,300.976979,13.000000,341.000000,975.000000,975.000000,981.000000,981.000000
1554849078,46,981,149.545384,1,280.211639,10.000000,173.000000,975.000000,975.000000,981.000000,981.000000
1554849088,50,981,165.004103,1,274.969035,13.000000,341.000000,969.000000,975.000000,981.000000,981.000000
1554849098,52,981,174.984344,1,274.920704,19.000000,347.000000,969.000000,975.000000,981.000000,981.000000
1554849108,57,981,147.267999,1,253.923999,10.000000,173.000000,765.000000,975.000000,975.000000,981.000000
1554849118,61,982,220.463837,1,327.999762,18.000000,386.000000,975.000000,982.000000,982.000000,982.000000
1554849128,65,982,193.339347,1,309.882641,10.000000,341.000000,975.000000,982.000000,982.000000,982.000000
1554849138,67,982,244.118270,1,345.636906,19.000000,527.000000,975.000000,982.000000,982.000000,982.000000
1554849148,68,982,233.617910,1,341.056774,14.000000,386.000000,975.000000,982.000000,982.000000,982.000000
