t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848981,4,1356,1091.444525,286,451.285647,1344.000000,1344.000000,1356.000000,1356.000000,1356.000000,1356.000000
1554848991,9,1633,1206.526596,114,545.140784,1356.000000,1590.000000,1633.000000,1633.000000,1633.000000,1633.000000
1554849001,12,1633,1105.601599,114,532.862795,1333.000000,1475.000000,1633.000000,1633.000000,1633.000000,1633.000000
1554849011,17,1633,1091.616865,114,497.621450,1344.000000,1428.000000,1633.000000,1633.000000,1633.000000,1633.000000
1554849021,22,1633,1029.535483,114,519.926873,1313.000000,1428.000000,1624.000000,1633.000000,1633.000000,1633.000000
1554849031,27,1633,947.858153,114,515.069937,1091.000000,1356.000000,1624.000000,1633.000000,1633.000000,1633.000000
1554849041,32,1633,794.806590,50,538.729326,545.000000,1333.000000,1590.000000,1633.000000,1633.000000,1633.000000
1554849051,37,1633,738.774081,39,541.179408,527.000000,1317.000000,1590.000000,1624.000000,1633.000000,1633.000000
1554849061,42,1633,693.422912,36,541.458356,500.000000,1317.000000,1567.000000,1624.000000,1633.000000,1633.000000
1554849071,47,1633,682.837871,13,571.359735,454.000000,1317.000000,1571.000000,1624.000000,1633.000000,1633.000000
1554849081,52,1633,600.808876,0,550.365608,331.000000,1300.000000,1571.000000,1590.000000,1624.000000,1633.000000
1554849091,57,1633,638.535225,0,555.725664,331.000000,1300.000000,1567.000000,1590.000000,1624.000000,1633.000000
1554849101,62,1633,596.395416,0,519.408007,338.000000,1145.000000,1567.000000,1571.000000,1624.000000,1633.000000
1554849111,67,1633,545.713891,0,493.707351,331.000000,910.000000,1489.000000,1571.000000,1624.000000,1633.000000
1554849121,72,1633,566.241357,0,492.625536,338.000000,1145.000000,1475.000000,1571.000000,1590.000000,1633.000000
1554849131,77,1633,525.198779,0,464.207334,355.000000,738.000000,1429.000000,1571.000000,1590.000000,1633.000000
1554849141,82,1633,521.608918,0,458.074729,338.000000,738.000000,1428.000000,1571.000000,1571.000000,1633.000000
