t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848971,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848981,5,1351,642.634534,204,389.567849,500.000000,597.000000,1351.000000,1351.000000,1351.000000,1351.000000
1554848991,10,1351,508.334714,159,400.023789,288.000000,597.000000,1351.000000,1351.000000,1351.000000,1351.000000
1554849001,14,2263,850.750756,159,645.292178,597.000000,1217.000000,2263.000000,2263.000000,2263.000000,2263.000000
1554849011,19,2263,790.045434,81,669.005526,500.000000,1351.000000,2263.000000,2263.000000,2263.000000,2263.000000
1554849021,24,2263,835.426152,81,654.284867,597.000000,1434.000000,1612.000000,2263.000000,2263.000000,2263.000000
1554849031,29,2263,841.553815,81,636.294087,854.000000,1434.000000,1612.000000,2263.000000,2263.000000,2263.000000
1554849041,34,2263,788.567455,25,634.179952,597.000000,1434.000000,1612.000000,2263.000000,2263.000000,2263.000000
1554849051,39,2263,841.121370,25,619.508633,893.000000,1378.000000,1606.000000,1612.000000,2263.000000,2263.000000
1554849061,44,2263,917.935719,25,609.514586,1158.000000,1482.000000,1606.000000,1612.000000,2263.000000,2263.000000
1554849071,49,2263,917.964311,25,611.914579,1207.000000,1444.000000,1594.000000,1612.000000,2263.000000,2263.000000
1554849081,54,2263,920.758810,25,609.684132,1217.000000,1456.000000,1594.000000,1612.000000,2263.000000,2263.000000
1554849091,59,2263,902.349560,25,594.397204,1207.000000,1434.000000,1582.000000,1606.000000,1612.000000,2263.000000
1554849101,64,2263,889.371143,25,583.564102,1178.000000,1378.000000,1582.000000,1606.000000,1612.000000,2263.000000
1554849111,69,2263,925.546979,25,575.463609,1256.000000,1351.000000,1567.000000,1606.000000,1612.000000,2263.000000
1554849121,74,2263,929.929625,25,557.396056,1256.000000,1351.000000,1567.000000,1594.000000,1612.000000,2263.000000
1554849131,79,2263,890.019458,25,562.964389,1178.000000,1333.000000,1579.000000,1594.000000,1606.000000,2263.000000
1554849141,84,2263,892.428504,25,570.274789,1149.000000,1400.000000,1579.000000,1582.000000,1606.000000,2263.000000
