t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848971,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848981,1,483,483.000000,483,0.000000,483.000000,483.000000,483.000000,483.000000,483.000000,483.000000
1554848991,2,862,686.685911,483,188.968278,862.000000,862.000000,862.000000,862.000000,862.000000,862.000000
1554849001,4,893,584.115742,127,324.937642,862.000000,893.000000,893.000000,893.000000,893.000000,893.000000
1554849011,5,893,517.325823,127,306.635599,483.000000,862.000000,893.000000,893.000000,893.000000,893.000000
1554849021,6,893,432.259913,106,319.896364,308.000000,862.000000,893.000000,893.000000,893.000000,893.000000
1554849031,7,893,363.115906,71,320.851062,308.000000,483.000000,893.000000,893.000000,893.000000,893.000000
1554849041,8,893,306.963174,71,308.033855,127.000000,483.000000,893.000000,893.000000,893.000000,893.000000
1554849051,9,986,430.621440,71,382.469191,308.000000,893.000000,986.000000,986.000000,986.000000,986.000000
1554849061,10,986,442.610380,71,349.375951,483.000000,862.000000,986.000000,986.000000,986.000000,986.000000
1554849071,10,986,442.610380,71,349.375951,483.000000,862.000000,986.000000,986.000000,986.000000,986.000000
1554849081,11,986,532.787169,71,370.213146,501.000000,943.000000,986.000000,986.000000,986.000000,986.000000
1554849091,11,986,532.787169,71,370.213146,501.000000,943.000000,986.000000,986.000000,986.000000,986.000000
1554849101,11,986,532.787169,71,370.213146,501.000000,943.000000,986.000000,986.000000,986.000000,986.000000
1554849111,11,986,532.787169,71,370.213146,501.000000,943.000000,986.000000,986.000000,986.000000,986.000000
1554849121,12,986,414.340615,59,380.634037,308.000000,893.000000,986.000000,986.000000,986.000000,986.000000
1554849131,12,986,414.340615,59,380.634037,308.000000,893.000000,986.000000,986.000000,986.000000,986.000000
1554849141,12,986,414.340615,59,380.634037,308.000000,893.000000,986.000000,986.000000,986.000000,986.000000
