t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848960,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848970,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848980,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848990,2,152,115.139658,76,37.982906,152.000000,152.000000,152.000000,152.000000,152.000000,152.000000
1554849000,4,304,199.324393,76,84.286966,228.000000,304.000000,304.000000,304.000000,304.000000,304.000000
1554849010,5,304,224.874929,76,85.976018,228.000000,304.000000,304.000000,304.000000,304.000000,304.000000
1554849020,6,380,258.749135,76,99.423389,304.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554849030,10,456,357.557605,76,121.079622,456.000000,456.000000,456.000000,456.000000,456.000000,456.000000
1554849040,14,532,415.142630,76,123.976002,456.000000,532.000000,532.000000,532.000000,532.000000,532.000000
1554849050,20,532,400.866867,76,102.186135,380.000000,456.000000,532.000000,532.000000,532.000000,532.000000
1554849060,22,532,398.072692,76,95.363876,380.000000,456.000000,532.000000,532.000000,532.000000,532.000000
1554849070,24,532,390.986056,76,92.168526,380.000000,456.000000,532.000000,532.000000,532.000000,532.000000
1554849080,24,532,390.986056,76,92.168526,380.000000,456.000000,532.000000,532.000000,532.000000,532.000000
1554849090,26,532,371.364790,76,97.322451,380.000000,456.000000,532.000000,532.000000,532.000000,532.000000
1554849100,28,532,349.195976,76,103.410864,380.000000,456.000000,532.000000,532.000000,532.000000,532.000000
1554849110,29,532,340.064786,76,104.457624,380.000000,380.000000,532.000000,532.000000,532.000000,532.000000
1554849120,32,532,343.454427,76,94.017490,380.000000,380.000000,532.000000,532.000000,532.000000,532.000000
1554849130,34,532,343.252447,76,88.388567,380.000000,380.000000,532.000000,532.000000,532.000000,532.000000
1554849140,34,532,343.252447,76,88.388567,380.000000,380.000000,532.000000,532.000000,532.000000,532.000000
