t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554848960,3,1.932041,0.000000,0.000000,0.000000,events/second
1554848970,35,3.035266,2.207885,2.042974,2.014404,events/second
1554848980,58,2.689586,2.149103,2.035172,2.012054,events/second
1554848990,103,3.266635,2.524082,2.119203,2.040643,events/second
1554849000,126,3.033765,2.453224,2.118327,2.041272,events/second
1554849010,158,3.064343,2.553803,2.153188,2.054008,events/second
1554849020,209,3.396910,2.933175,2.246681,2.086578,events/second
1554849030,243,3.397064,2.998448,2.284219,2.101060,events/second
1554849040,276,3.384969,3.100396,2.330387,2.118700,events/second
1554849050,312,3.408692,3.140628,2.362585,2.131799,events/second
1554849060,333,3.279886,3.060837,2.373128,2.138019,events/second
1554849070,371,3.326557,3.171107,2.417147,2.155337,events/second
1554849080,393,3.233983,3.051449,2.416530,2.158034,events/second
1554849090,404,3.071738,2.720523,2.366785,2.144130,events/second
1554849100,453,3.200603,2.945093,2.426776,2.166835,events/second
1554849110,480,3.167667,2.927302,2.441825,2.174884,events/second
1554849120,509,3.151007,3.035688,2.480013,2.190655,events/second
1554849130,550,3.206483,3.078182,2.506978,2.202922,events/second
1554849140,587,3.233690,3.170446,2.545953,2.219449,events/second
