t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848960,2,38,29.372510,21,8.499044,21.000000,38.000000,38.000000,38.000000,38.000000,38.000000
1554848970,5,70,32.962387,18,19.900879,21.000000,38.000000,70.000000,70.000000,70.000000,70.000000
1554848980,10,667,186.404748,10,255.196435,21.000000,262.000000,667.000000,667.000000,667.000000,667.000000
1554848990,15,667,134.923395,6,217.491869,19.000000,240.000000,667.000000,667.000000,667.000000,667.000000
1554849000,18,915,174.195334,3,288.172895,19.000000,240.000000,915.000000,915.000000,915.000000,915.000000
1554849010,22,915,152.729796,3,257.254879,20.000000,240.000000,915.000000,915.000000,915.000000,915.000000
1554849020,27,915,117.304448,3,228.404702,19.000000,53.000000,667.000000,915.000000,915.000000,915.000000
1554849030,32,915,132.146645,3,258.313387,19.000000,53.000000,851.000000,915.000000,915.000000,915.000000
1554849040,36,915,110.895688,3,238.486979,18.000000,20.000000,851.000000,915.000000,915.000000,915.000000
1554849050,41,915,127.161618,3,242.310945,18.000000,38.000000,851.000000,915.000000,915.000000,915.000000
1554849060,44,915,149.436644,3,250.876727,18.000000,229.000000,667.000000,851.000000,915.000000,915.000000
1554849070,49,915,132.480783,3,230.768862,19.000000,229.000000,646.000000,851.000000,915.000000,915.000000
1554849080,53,915,143.921965,3,225.469003,20.000000,239.000000,645.000000,851.000000,915.000000,915.000000
1554849090,55,915,150.535931,3,225.145707,20.000000,240.000000,645.000000,851.000000,915.000000,915.000000
1554849100,60,915,125.021681,3,208.871720,19.000000,229.000000,645.000000,851.000000,851.000000,915.000000
1554849110,63,915,158.764286,3,244.543873,19.000000,240.000000,826.000000,826.000000,851.000000,915.000000
1554849120,69,915,184.766182,3,282.813662,18.000000,262.000000,816.000000,826.000000,851.000000,915.000000
1554849130,74,915,168.105508,3,268.091873,15.000000,253.000000,816.000000,826.000000,851.000000,915.000000
1554849140,79,915,155.916061,3,254.859894,15.000000,240.000000,816.000000,826.000000,851.000000,915.000000
