t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848965,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848975,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848985,1,501,501.000000,501,0.000000,501.000000,501.000000,501.000000,501.000000,501.000000,501.000000
1554848995,2,898,718.792655,501,197.560227,898.000000,898.000000,898.000000,898.000000,898.000000,898.000000
1554849005,2,898,718.792655,501,197.560227,898.000000,898.000000,898.000000,898.000000,898.000000,898.000000
1554849015,2,898,718.792655,501,197.560227,898.000000,898.000000,898.000000,898.000000,898.000000,898.000000
1554849025,2,898,718.792655,501,197.560227,898.000000,898.000000,898.000000,898.000000,898.000000,898.000000
1554849035,2,898,718.792655,501,197.560227,898.000000,898.000000,898.000000,898.000000,898.000000,898.000000
1554849045,3,898,628.006907,501,157.808782,551.000000,898.000000,898.000000,898.000000,898.000000,898.000000
1554849055,4,916,737.127021,501,187.046287,898.000000,916.000000,916.000000,916.000000,916.000000,916.000000
1554849065,4,916,737.127021,501,187.046287,898.000000,916.000000,916.000000,916.000000,916.000000,916.000000
1554849075,4,916,737.127021,501,187.046287,898.000000,916.000000,916.000000,916.000000,916.000000,916.000000
1554849085,4,916,737.127021,501,187.046287,898.000000,916.000000,916.000000,916.000000,916.000000,916.000000
1554849095,4,916,737.127021,501,187.046287,898.000000,916.000000,916.000000,916.000000,916.000000,916.000000
1554849105,4,916,737.127021,501,187.046287,898.000000,916.000000,916.000000,916.000000,916.000000,916.000000
1554849115,5,916,508.083301,251,278.182439,501.000000,898.000000,916.000000,916.000000,916.000000,916.000000
1554849125,5,916,508.083301,251,278.182439,501.000000,898.000000,916.000000,916.000000,916.000000,916.000000
1554849135,6,916,353.020396,140,278.956554,251.000000,551.000000,916.000000,916.000000,916.000000,916.000000
1554849145,6,916,353.020396,140,278.956554,251.000000,551.000000,916.000000,916.000000,916.000000,916.000000
