t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848974,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848984,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848994,2,861,559.212636,275,292.868199,275.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849004,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849014,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849024,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849034,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849044,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849054,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849064,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849074,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849084,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849094,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849104,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849114,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849124,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849134,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849144,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
1554849154,3,861,602.230084,275,236.768841,672.000000,861.000000,861.000000,861.000000,861.000000,861.000000
