t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848974,3,35,16.398157,7,12.866691,8.000000,35.000000,35.000000,35.000000,35.000000,35.000000
1554848984,7,539,87.574253,1,188.546382,7.000000,35.000000,539.000000,539.000000,539.000000,539.000000
1554848994,11,937,200.926950,1,318.426485,7.000000,485.000000,937.000000,937.000000,937.000000,937.000000
1554849004,15,937,196.648792,1,288.419593,17.000000,485.000000,937.000000,937.000000,937.000000,937.000000
1554849014,20,937,138.341577,1,253.054103,17.000000,35.000000,539.000000,937.000000,937.000000,937.000000
1554849024,24,937,116.049819,1,227.113059,16.000000,35.000000,539.000000,937.000000,937.000000,937.000000
1554849034,28,937,125.355019,1,224.043627,16.000000,111.000000,539.000000,937.000000,937.000000,937.000000
1554849044,33,937,119.626111,1,220.028381,12.000000,111.000000,535.000000,937.000000,937.000000,937.000000
1554849054,36,937,173.432590,1,281.373979,15.000000,182.000000,922.000000,922.000000,937.000000,937.000000
1554849064,41,937,172.309118,1,267.679564,12.000000,318.000000,922.000000,922.000000,937.000000,937.000000
1554849074,45,937,198.775448,1,281.569431,16.000000,510.000000,717.000000,922.000000,937.000000,937.000000
1554849084,47,937,213.054684,1,292.489404,16.000000,519.000000,717.000000,922.000000,937.000000,937.000000
1554849094,52,937,182.634538,1,273.323836,12.000000,318.000000,717.000000,922.000000,922.000000,937.000000
1554849104,55,937,194.673693,1,281.259728,16.000000,485.000000,722.000000,922.000000,922.000000,937.000000
1554849114,60,937,165.361101,1,260.771975,12.000000,307.000000,722.000000,922.000000,922.000000,937.000000
1554849124,65,937,135.526124,1,244.108832,4.000000,106.000000,717.000000,722.000000,922.000000,937.000000
1554849134,70,937,144.255010,1,269.291694,4.000000,103.000000,905.000000,905.000000,922.000000,937.000000
1554849144,75,937,126.923749,1,249.168594,4.000000,94.000000,722.000000,905.000000,922.000000,937.000000
1554849154,77,937,121.047435,1,240.698112,8.000000,94.000000,722.000000,905.000000,922.000000,937.000000
