t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848974,3,64,31.260277,8,23.459651,23.000000,64.000000,64.000000,64.000000,64.000000,64.000000
1554848984,8,64,24.814228,5,16.799568,21.000000,23.000000,64.000000,64.000000,64.000000,64.000000
1554848994,11,64,21.858760,4,15.347586,21.000000,23.000000,64.000000,64.000000,64.000000,64.000000
1554849004,15,236,42.856841,4,58.756395,21.000000,49.000000,236.000000,236.000000,236.000000,236.000000
1554849014,20,236,32.564363,1,50.886216,18.000000,23.000000,236.000000,236.000000,236.000000,236.000000
1554849024,25,236,31.024283,1,46.310466,16.000000,23.000000,90.000000,236.000000,236.000000,236.000000
1554849034,30,236,26.695919,1,41.131166,15.000000,21.000000,90.000000,236.000000,236.000000,236.000000
1554849044,35,236,27.940507,1,37.676731,15.000000,26.000000,90.000000,236.000000,236.000000,236.000000
1554849054,40,236,26.715965,1,34.262378,15.000000,28.000000,64.000000,90.000000,236.000000,236.000000
1554849064,45,236,22.963990,1,31.966636,13.000000,25.000000,60.000000,90.000000,236.000000,236.000000
1554849074,50,236,30.291796,1,44.924314,18.000000,26.000000,90.000000,206.000000,236.000000,236.000000
1554849084,55,236,29.079188,1,41.844607,20.000000,31.000000,90.000000,206.000000,236.000000,236.000000
1554849094,60,236,27.459323,1,38.646975,18.000000,31.000000,60.000000,206.000000,206.000000,236.000000
1554849104,65,236,25.961170,1,36.800832,16.000000,31.000000,65.000000,206.000000,206.000000,236.000000
1554849114,70,236,24.208004,1,34.286096,15.000000,28.000000,65.000000,206.000000,206.000000,236.000000
1554849124,75,236,25.598182,1,32.338578,17.000000,41.000000,64.000000,90.000000,206.000000,236.000000
1554849134,80,250,29.542633,1,48.758356,13.000000,41.000000,90.000000,250.000000,250.000000,250.000000
1554849144,85,250,29.698495,1,46.087676,16.000000,35.000000,75.000000,250.000000,250.000000,250.000000
1554849154,90,250,36.859291,1,52.267694,21.000000,42.000000,202.000000,250.000000,250.000000,250.000000
