t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848973,2,46,24.822476,3,21.497581,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000
1554848983,5,46,11.538145,3,16.907036,3.000000,4.000000,46.000000,46.000000,46.000000,46.000000
1554848993,9,46,14.920041,3,15.542735,5.000000,21.000000,46.000000,46.000000,46.000000,46.000000
1554849003,13,692,86.326436,3,192.962421,21.000000,38.000000,692.000000,692.000000,692.000000,692.000000
1554849013,17,692,88.187135,3,176.446652,21.000000,38.000000,692.000000,692.000000,692.000000,692.000000
1554849023,21,711,112.613583,3,218.970664,21.000000,38.000000,711.000000,711.000000,711.000000,711.000000
1554849033,26,711,87.406678,3,191.813082,20.000000,38.000000,692.000000,711.000000,711.000000,711.000000
1554849043,30,711,97.254593,3,196.739724,20.000000,38.000000,692.000000,711.000000,711.000000,711.000000
1554849053,34,711,83.120013,3,179.912162,20.000000,38.000000,692.000000,711.000000,711.000000,711.000000
1554849063,40,905,105.595543,3,225.298802,20.000000,45.000000,711.000000,905.000000,905.000000,905.000000
1554849073,43,905,141.490105,3,264.081325,21.000000,83.000000,880.000000,905.000000,905.000000,905.000000
1554849083,48,905,144.734755,3,266.664681,21.000000,83.000000,880.000000,905.000000,905.000000,905.000000
1554849093,52,905,136.661388,3,250.762964,20.000000,83.000000,880.000000,905.000000,905.000000,905.000000
1554849103,54,905,129.665169,3,240.919375,21.000000,84.000000,711.000000,905.000000,905.000000,905.000000
1554849113,59,905,106.430553,3,221.513417,20.000000,45.000000,692.000000,880.000000,905.000000,905.000000
1554849123,63,905,129.737127,3,227.839461,20.000000,84.000000,687.000000,880.000000,905.000000,905.000000
1554849133,68,905,124.800995,3,220.326757,20.000000,83.000000,687.000000,880.000000,905.000000,905.000000
1554849143,73,905,108.989074,3,203.574192,20.000000,73.000000,508.000000,880.000000,880.000000,905.000000
