t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848965,2,94,67.102530,41,26.497019,41.000000,94.000000,94.000000,94.000000,94.000000,94.000000
1554848975,7,94,37.974079,7,24.563419,40.000000,41.000000,94.000000,94.000000,94.000000,94.000000
1554848985,12,94,36.964108,5,22.270149,38.000000,55.000000,94.000000,94.000000,94.000000,94.000000
1554848995,17,94,36.466221,5,19.844507,38.000000,50.000000,55.000000,94.000000,94.000000,94.000000
1554849005,22,569,80.480874,5,131.259927,49.000000,53.000000,569.000000,569.000000,569.000000,569.000000
1554849015,27,569,68.460478,5,115.639240,41.000000,53.000000,203.000000,569.000000,569.000000,569.000000
1554849025,32,569,59.068414,5,103.349185,38.000000,49.000000,203.000000,569.000000,569.000000,569.000000
1554849035,37,569,54.316098,5,92.657424,41.000000,45.000000,203.000000,569.000000,569.000000,569.000000
1554849045,42,569,67.979401,5,124.638700,40.000000,45.000000,541.000000,569.000000,569.000000,569.000000
1554849055,47,569,67.567725,5,115.743929,40.000000,49.000000,203.000000,541.000000,569.000000,569.000000
1554849065,52,569,61.817904,5,105.894437,40.000000,45.000000,203.000000,541.000000,569.000000,569.000000
1554849075,57,569,57.539890,5,97.056179,38.000000,45.000000,191.000000,541.000000,569.000000,569.000000
1554849085,62,569,56.927337,5,88.757163,40.000000,50.000000,191.000000,541.000000,569.000000,569.000000
1554849095,67,569,52.994447,5,81.969145,40.000000,49.000000,94.000000,541.000000,541.000000,569.000000
1554849105,72,569,53.961828,5,78.025476,38.000000,49.000000,162.000000,203.000000,541.000000,569.000000
1554849115,77,569,48.798975,5,72.820397,35.000000,46.000000,162.000000,203.000000,541.000000,569.000000
1554849125,82,569,49.614453,5,67.753895,38.000000,49.000000,162.000000,191.000000,541.000000,569.000000
1554849135,87,569,50.388011,5,62.634424,40.000000,54.000000,97.000000,191.000000,541.000000,569.000000
1554849145,92,569,48.386626,5,58.174988,40.000000,53.000000,97.000000,191.000000,541.000000,569.000000
