t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847754,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847764,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847774,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847784,1,561,561.000000,561,0.000000,561.000000,561.000000,561.000000,561.000000,561.000000,561.000000
1554847794,1,561,561.000000,561,0.000000,561.000000,561.000000,561.000000,561.000000,561.000000,561.000000
1554847804,2,561,558.072977,556,2.463260,556.000000,561.000000,561.000000,561.000000,561.000000,561.000000
1554847814,2,561,558.072977,556,2.463260,556.000000,561.000000,561.000000,561.000000,561.000000,561.000000
1554847824,3,561,376.435982,150,202.811534,556.000000,556.000000,561.000000,561.000000,561.000000,561.000000
1554847834,4,948,575.133620,150,317.680566,556.000000,948.000000,948.000000,948.000000,948.000000,948.000000
1554847844,4,948,575.133620,150,317.680566,556.000000,948.000000,948.000000,948.000000,948.000000,948.000000
1554847854,4,948,575.133620,150,317.680566,556.000000,948.000000,948.000000,948.000000,948.000000,948.000000
1554847864,4,948,575.133620,150,317.680566,556.000000,948.000000,948.000000,948.000000,948.000000,948.000000
1554847874,5,948,598.520885,150,251.037185,636.000000,636.000000,948.000000,948.000000,948.000000,948.000000
1554847884,5,948,598.520885,150,251.037185,636.000000,636.000000,948.000000,948.000000,948.000000,948.000000
1554847894,5,948,598.520885,150,251.037185,636.000000,636.000000,948.000000,948.000000,948.000000,948.000000
1554847904,5,948,598.520885,150,251.037185,636.000000,636.000000,948.000000,948.000000,948.000000,948.000000
1554847914,5,948,598.520885,150,251.037185,636.000000,636.000000,948.000000,948.000000,948.000000,948.000000
1554847924,5,948,598.520885,150,251.037185,636.000000,636.000000,948.000000,948.000000,948.000000,948.000000
