t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554847754,16,4.208807,0.000000,0.000000,0.000000,events/second
1554847764,61,4.434776,4.904053,4.980166,4.993352,events/second
1554847774,110,4.629912,4.869531,4.970844,4.990095,events/second
1554847784,160,4.740344,4.884446,4.971582,4.990180,events/second
1554847794,207,4.731471,4.881080,4.968989,4.989156,events/second
1554847804,254,4.726057,4.818102,4.953422,4.983729,events/second
1554847814,302,4.736838,4.840913,4.954731,4.983885,events/second
1554847824,346,4.692300,4.784101,4.939632,4.978516,events/second
1554847834,393,4.693246,4.705308,4.918471,4.970998,events/second
1554847844,438,4.671776,4.697461,4.911008,4.967969,events/second
1554847854,486,4.684866,4.693376,4.903899,4.964987,events/second
1554847864,539,4.738603,4.828723,4.926556,4.971985,events/second
1554847874,579,4.679308,4.697663,4.896016,4.961227,events/second
1554847884,624,4.665898,4.633418,4.876340,4.953905,events/second
1554847894,673,4.681634,4.640443,4.870422,4.951084,events/second
1554847904,723,4.702840,4.690528,4.874452,4.951600,events/second
1554847914,772,4.714821,4.732923,4.878349,4.952110,events/second
1554847924,813,4.679291,4.660708,4.859143,4.944877,events/second
1554847934,856,4.658832,4.584866,4.837315,4.936622,events/second
