t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847741,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847751,5,1380,724.475045,214,371.897477,662.000000,700.000000,1380.000000,1380.000000,1380.000000,1380.000000
1554847761,10,1524,655.290551,91,476.094122,656.000000,918.000000,1524.000000,1524.000000,1524.000000,1524.000000
1554847771,15,1580,733.277735,56,538.637334,662.000000,1380.000000,1580.000000,1580.000000,1580.000000,1580.000000
1554847781,20,1592,819.138354,56,568.815415,700.000000,1465.000000,1592.000000,1592.000000,1592.000000,1592.000000
1554847791,25,1592,700.945884,56,559.655045,322.000000,1344.000000,1580.000000,1592.000000,1592.000000,1592.000000
1554847801,30,1612,779.952230,56,574.475633,656.000000,1463.000000,1592.000000,1612.000000,1612.000000,1612.000000
1554847811,35,1612,700.884344,25,577.235716,366.000000,1367.000000,1592.000000,1612.000000,1612.000000,1612.000000
1554847821,40,1612,709.589718,25,571.906836,324.000000,1348.000000,1592.000000,1612.000000,1612.000000,1612.000000
1554847831,45,1612,729.285297,25,577.914452,366.000000,1367.000000,1600.000000,1612.000000,1612.000000,1612.000000
1554847841,50,1631,758.907909,25,574.582191,399.000000,1449.000000,1612.000000,1631.000000,1631.000000,1631.000000
1554847851,55,1631,708.761237,25,583.962670,366.000000,1449.000000,1607.000000,1631.000000,1631.000000,1631.000000
1554847861,60,1631,780.024473,25,587.312195,405.000000,1463.000000,1607.000000,1631.000000,1631.000000,1631.000000
1554847871,65,1631,663.536050,0,600.335716,324.000000,1348.000000,1607.000000,1631.000000,1631.000000,1631.000000
1554847881,70,1631,625.566731,0,604.095498,322.000000,1344.000000,1600.000000,1612.000000,1631.000000,1631.000000
1554847891,75,1631,705.042090,0,628.457947,366.000000,1449.000000,1600.000000,1612.000000,1631.000000,1631.000000
1554847901,80,1631,728.917937,0,618.532717,429.000000,1379.000000,1611.000000,1611.000000,1631.000000,1631.000000
1554847911,85,1715,827.755650,0,620.714701,684.000000,1430.000000,1611.000000,1715.000000,1715.000000,1715.000000
1554847921,90,1715,891.244802,0,627.448814,1109.000000,1506.000000,1633.000000,1715.000000,1715.000000,1715.000000
