t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847751,1,41,41.000000,41,0.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000
1554847761,6,41,23.445048,5,17.839075,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000
1554847771,9,68,33.534151,5,24.143443,41.000000,41.000000,68.000000,68.000000,68.000000,68.000000
1554847781,14,616,76.946014,2,166.269638,17.000000,41.000000,616.000000,616.000000,616.000000,616.000000
1554847791,18,616,58.044545,2,144.674240,15.000000,41.000000,616.000000,616.000000,616.000000,616.000000
1554847801,23,616,83.596889,2,179.750830,17.000000,41.000000,597.000000,616.000000,616.000000,616.000000
1554847811,28,616,65.575721,2,158.651534,14.000000,34.000000,597.000000,616.000000,616.000000,616.000000
1554847821,32,616,65.018864,2,146.291766,15.000000,41.000000,597.000000,616.000000,616.000000,616.000000
1554847831,37,616,85.332081,2,172.980986,14.000000,48.000000,598.000000,616.000000,616.000000,616.000000
1554847841,41,616,95.991829,2,187.883801,13.000000,48.000000,598.000000,598.000000,616.000000,616.000000
1554847851,44,616,109.768075,1,203.695300,13.000000,52.000000,597.000000,598.000000,616.000000,616.000000
1554847861,49,977,148.237342,1,263.997481,13.000000,68.000000,598.000000,977.000000,977.000000,977.000000
1554847871,53,977,173.479252,1,279.290721,13.000000,182.000000,791.000000,977.000000,977.000000,977.000000
1554847881,54,977,189.629688,1,284.593557,14.000000,375.000000,791.000000,977.000000,977.000000,977.000000
1554847891,59,977,198.594030,1,288.057208,17.000000,375.000000,791.000000,977.000000,977.000000,977.000000
1554847901,63,977,204.365620,1,294.836791,17.000000,375.000000,787.000000,977.000000,977.000000,977.000000
1554847911,68,977,174.013906,1,274.930668,14.000000,175.000000,787.000000,791.000000,977.000000,977.000000
1554847921,73,977,149.196693,1,256.092069,14.000000,157.000000,787.000000,791.000000,977.000000,977.000000
