t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847753,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847763,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847773,1,268,268.000000,268,0.000000,268.000000,268.000000,268.000000,268.000000,268.000000,268.000000
1554847783,1,268,268.000000,268,0.000000,268.000000,268.000000,268.000000,268.000000,268.000000,268.000000
1554847793,2,268,162.079524,80,93.241097,80.000000,268.000000,268.000000,268.000000,268.000000,268.000000
1554847803,2,268,162.079524,80,93.241097,80.000000,268.000000,268.000000,268.000000,268.000000,268.000000
1554847813,2,268,162.079524,80,93.241097,80.000000,268.000000,268.000000,268.000000,268.000000,268.000000
1554847823,3,870,486.244444,80,359.322910,268.000000,870.000000,870.000000,870.000000,870.000000,870.000000
1554847833,3,870,486.244444,80,359.322910,268.000000,870.000000,870.000000,870.000000,870.000000,870.000000
1554847843,3,870,486.244444,80,359.322910,268.000000,870.000000,870.000000,870.000000,870.000000,870.000000
1554847853,3,870,486.244444,80,359.322910,268.000000,870.000000,870.000000,870.000000,870.000000,870.000000
1554847863,3,870,486.244444,80,359.322910,268.000000,870.000000,870.000000,870.000000,870.000000,870.000000
1554847873,3,870,486.244444,80,359.322910,268.000000,870.000000,870.000000,870.000000,870.000000,870.000000
1554847883,3,870,486.244444,80,359.322910,268.000000,870.000000,870.000000,870.000000,870.000000,870.000000
1554847893,3,870,486.244444,80,359.322910,268.000000,870.000000,870.000000,870.000000,870.000000,870.000000
1554847903,3,870,486.244444,80,359.322910,268.000000,870.000000,870.000000,870.000000,870.000000,870.000000
1554847913,4,870,468.943003,80,217.468345,459.000000,459.000000,870.000000,870.000000,870.000000,870.000000
1554847923,5,870,581.786893,80,207.825351,728.000000,728.000000,870.000000,870.000000,870.000000,870.000000
1554847933,5,870,581.786893,80,207.825351,728.000000,728.000000,870.000000,870.000000,870.000000,870.000000
