t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847751,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847761,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847771,1,597,597.000000,597,0.000000,597.000000,597.000000,597.000000,597.000000,597.000000,597.000000
1554847781,2,927,776.810034,597,164.333998,927.000000,927.000000,927.000000,927.000000,927.000000,927.000000
1554847791,3,927,487.702911,10,393.612941,597.000000,927.000000,927.000000,927.000000,927.000000,927.000000
1554847801,4,971,644.291988,10,394.831735,927.000000,971.000000,971.000000,971.000000,971.000000,971.000000
1554847811,5,971,474.870026,10,437.178017,597.000000,927.000000,971.000000,971.000000,971.000000,971.000000
1554847821,6,971,595.147918,10,433.405854,927.000000,961.000000,971.000000,971.000000,971.000000,971.000000
1554847831,6,971,595.147918,10,433.405854,927.000000,961.000000,971.000000,971.000000,971.000000,971.000000
1554847841,7,971,483.594994,10,432.348287,597.000000,961.000000,971.000000,971.000000,971.000000,971.000000
1554847851,7,971,483.594994,10,432.348287,597.000000,961.000000,971.000000,971.000000,971.000000,971.000000
1554847861,7,971,483.594994,10,432.348287,597.000000,961.000000,971.000000,971.000000,971.000000,971.000000
1554847871,7,971,483.594994,10,432.348287,597.000000,961.000000,971.000000,971.000000,971.000000,971.000000
1554847881,7,971,483.594994,10,432.348287,597.000000,961.000000,971.000000,971.000000,971.000000,971.000000
1554847891,7,971,483.594994,10,432.348287,597.000000,961.000000,971.000000,971.000000,971.000000,971.000000
1554847901,8,971,572.327515,10,360.904422,721.000000,927.000000,971.000000,971.000000,971.000000,971.000000
1554847911,8,971,572.327515,10,360.904422,721.000000,927.000000,971.000000,971.000000,971.000000,971.000000
1554847921,8,971,572.327515,10,360.904422,721.000000,927.000000,971.000000,971.000000,971.000000,971.000000
1554847931,8,971,572.327515,10,360.904422,721.000000,927.000000,971.000000,971.000000,971.000000,971.000000
