t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847753,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847763,1,642,642.000000,642,0.000000,642.000000,642.000000,642.000000,642.000000,642.000000,642.000000
1554847773,3,642,471.718868,388,113.564711,404.000000,642.000000,642.000000,642.000000,642.000000,642.000000
1554847783,4,642,345.564796,32,220.803812,388.000000,404.000000,642.000000,642.000000,642.000000,642.000000
1554847793,4,642,345.564796,32,220.803812,388.000000,404.000000,642.000000,642.000000,642.000000,642.000000
1554847803,5,642,259.328843,12,239.746924,388.000000,404.000000,642.000000,642.000000,642.000000,642.000000
1554847813,5,642,259.328843,12,239.746924,388.000000,404.000000,642.000000,642.000000,642.000000,642.000000
1554847823,6,642,193.364387,12,230.944355,32.000000,404.000000,642.000000,642.000000,642.000000,642.000000
1554847833,6,642,193.364387,12,230.944355,32.000000,404.000000,642.000000,642.000000,642.000000,642.000000
1554847843,6,642,193.364387,12,230.944355,32.000000,404.000000,642.000000,642.000000,642.000000,642.000000
1554847853,6,642,193.364387,12,230.944355,32.000000,404.000000,642.000000,642.000000,642.000000,642.000000
1554847863,7,642,202.278454,12,190.521638,221.000000,388.000000,642.000000,642.000000,642.000000,642.000000
1554847873,7,642,202.278454,12,190.521638,221.000000,388.000000,642.000000,642.000000,642.000000,642.000000
1554847883,7,642,202.278454,12,190.521638,221.000000,388.000000,642.000000,642.000000,642.000000,642.000000
1554847893,7,642,202.278454,12,190.521638,221.000000,388.000000,642.000000,642.000000,642.000000,642.000000
1554847903,7,642,202.278454,12,190.521638,221.000000,388.000000,642.000000,642.000000,642.000000,642.000000
1554847913,7,642,202.278454,12,190.521638,221.000000,388.000000,642.000000,642.000000,642.000000,642.000000
1554847923,8,927,536.346790,12,387.390208,642.000000,927.000000,927.000000,927.000000,927.000000,927.000000
