t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847740,2,62,46.383752,31,15.499564,31.000000,62.000000,62.000000,62.000000,62.000000,62.000000
1554847750,7,63,27.350582,9,22.541067,12.000000,62.000000,63.000000,63.000000,63.000000,63.000000
1554847760,12,63,25.353691,9,21.363138,11.000000,31.000000,63.000000,63.000000,63.000000,63.000000
1554847770,17,63,22.060190,9,18.499449,11.000000,27.000000,62.000000,63.000000,63.000000,63.000000
1554847780,22,63,19.195987,8,16.602789,10.000000,25.000000,62.000000,63.000000,63.000000,63.000000
1554847790,27,63,19.851923,4,16.384964,10.000000,26.000000,62.000000,63.000000,63.000000,63.000000
1554847800,32,63,22.115135,4,15.487736,20.000000,36.000000,59.000000,63.000000,63.000000,63.000000
1554847810,37,63,26.476069,4,16.619985,25.000000,37.000000,59.000000,62.000000,63.000000,63.000000
1554847820,42,63,29.544532,4,17.341043,34.000000,40.000000,56.000000,62.000000,63.000000,63.000000
1554847830,47,63,27.158193,1,18.435785,25.000000,38.000000,56.000000,62.000000,63.000000,63.000000
1554847840,52,63,26.810361,1,17.842550,21.000000,38.000000,56.000000,59.000000,62.000000,63.000000
1554847850,57,63,26.411257,1,17.440615,20.000000,38.000000,53.000000,59.000000,62.000000,63.000000
1554847860,62,63,27.557087,1,17.043351,27.000000,42.000000,53.000000,56.000000,62.000000,63.000000
1554847870,67,63,28.220615,1,17.111361,25.000000,42.000000,56.000000,58.000000,59.000000,63.000000
1554847880,72,63,28.212033,1,16.105883,27.000000,42.000000,56.000000,58.000000,59.000000,63.000000
1554847890,77,103,28.629111,1,20.710414,25.000000,40.000000,58.000000,103.000000,103.000000,103.000000
1554847900,82,103,29.538810,1,20.101119,27.000000,38.000000,62.000000,103.000000,103.000000,103.000000
1554847910,87,103,27.174496,1,19.536816,25.000000,36.000000,62.000000,103.000000,103.000000,103.000000
1554847920,92,103,26.036908,1,18.474271,25.000000,35.000000,58.000000,63.000000,103.000000,103.000000
1554847930,97,103,24.351386,1,17.857392,21.000000,33.000000,58.000000,62.000000,103.000000,103.000000
