t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847734,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847744,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847754,1,225,225.000000,225,0.000000,225.000000,225.000000,225.000000,225.000000,225.000000,225.000000
1554847764,1,225,225.000000,225,0.000000,225.000000,225.000000,225.000000,225.000000,225.000000,225.000000
1554847774,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847784,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847794,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847804,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847814,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847824,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847834,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847844,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847854,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847864,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847874,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847884,2,832,582.547543,225,298.648812,832.000000,832.000000,832.000000,832.000000,832.000000,832.000000
1554847894,3,832,263.618578,170,223.825009,170.000000,170.000000,832.000000,832.000000,832.000000,832.000000
1554847904,3,832,263.618578,170,223.825009,170.000000,170.000000,832.000000,832.000000,832.000000,832.000000
1554847914,3,832,263.618578,170,223.825009,170.000000,170.000000,832.000000,832.000000,832.000000,832.000000
1554847924,3,832,263.618578,170,223.825009,170.000000,170.000000,832.000000,832.000000,832.000000,832.000000
