t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847750,2,1484,753.129165,0,741.916533,1484.000000,1484.000000,1484.000000,1484.000000,1484.000000,1484.000000
1554847760,19,1484,293.320866,0,526.475373,0.000000,281.000000,1467.000000,1484.000000,1484.000000,1484.000000
1554847770,26,1484,361.114044,0,529.386247,22.000000,337.000000,1467.000000,1484.000000,1484.000000,1484.000000
1554847780,31,1573,431.188700,0,571.713706,126.000000,1083.000000,1484.000000,1573.000000,1573.000000,1573.000000
1554847790,36,1573,447.004832,0,550.925608,209.000000,1083.000000,1484.000000,1573.000000,1573.000000,1573.000000
1554847800,41,1573,546.811126,0,581.906601,269.000000,1200.000000,1540.000000,1573.000000,1573.000000,1573.000000
1554847810,46,1753,543.267045,0,591.262520,268.000000,1083.000000,1573.000000,1753.000000,1753.000000,1753.000000
1554847820,51,1753,587.868012,0,606.989863,269.000000,1217.000000,1622.000000,1753.000000,1753.000000,1753.000000
1554847830,56,1753,647.826807,0,626.442866,337.000000,1349.000000,1622.000000,1753.000000,1753.000000,1753.000000
1554847840,61,1753,596.366580,0,607.178266,268.000000,1085.000000,1612.000000,1753.000000,1753.000000,1753.000000
1554847850,71,1753,604.627996,0,603.776997,268.000000,1217.000000,1612.000000,1622.000000,1753.000000,1753.000000
1554847860,85,1753,527.622276,0,543.764964,269.000000,967.000000,1604.000000,1622.000000,1753.000000,1753.000000
1554847870,94,1753,525.141104,0,539.660798,268.000000,978.000000,1540.000000,1612.000000,1622.000000,1753.000000
1554847880,101,1753,542.758120,0,558.329270,267.000000,989.000000,1523.000000,1612.000000,1622.000000,1753.000000
1554847890,108,1753,513.075188,0,555.379217,211.000000,984.000000,1533.000000,1612.000000,1622.000000,1753.000000
1554847900,113,1753,526.743700,0,548.075791,267.000000,989.000000,1533.000000,1604.000000,1622.000000,1753.000000
1554847910,118,1753,523.996252,0,538.146903,295.000000,984.000000,1523.000000,1604.000000,1622.000000,1753.000000
1554847920,129,1753,483.276614,0,529.955354,267.000000,978.000000,1517.000000,1573.000000,1612.000000,1753.000000
1554847930,147,1753,437.102229,0,544.129994,170.000000,958.000000,1501.000000,1533.000000,1604.000000,1753.000000
