t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847750,2,42,29.820013,18,11.998650,18.000000,42.000000,42.000000,42.000000,42.000000,42.000000
1554847760,7,42,26.983476,13,11.211691,23.000000,41.000000,42.000000,42.000000,42.000000,42.000000
1554847770,12,42,23.763619,13,10.049780,17.000000,33.000000,42.000000,42.000000,42.000000,42.000000
1554847780,17,42,23.629407,13,9.727621,17.000000,33.000000,41.000000,42.000000,42.000000,42.000000
1554847790,22,42,23.157798,13,9.239224,17.000000,32.000000,41.000000,42.000000,42.000000,42.000000
1554847800,27,42,22.581399,10,9.145022,17.000000,31.000000,41.000000,42.000000,42.000000,42.000000
1554847810,32,42,20.114574,7,9.735333,17.000000,29.000000,36.000000,41.000000,42.000000,42.000000
1554847820,37,42,19.621689,5,9.419876,17.000000,26.000000,36.000000,41.000000,42.000000,42.000000
1554847830,42,53,22.974484,3,14.115250,21.000000,31.000000,52.000000,53.000000,53.000000,53.000000
1554847840,47,53,25.628661,3,15.531015,21.000000,36.000000,52.000000,53.000000,53.000000,53.000000
1554847850,52,53,26.540042,3,15.788495,21.000000,42.000000,52.000000,53.000000,53.000000,53.000000
1554847860,57,53,26.004354,3,15.438887,17.000000,41.000000,52.000000,53.000000,53.000000,53.000000
1554847870,62,53,27.875079,3,15.885867,21.000000,49.000000,52.000000,52.000000,53.000000,53.000000
1554847880,67,53,28.602405,3,15.999299,23.000000,46.000000,51.000000,52.000000,53.000000,53.000000
1554847890,72,53,26.321663,3,16.450023,17.000000,45.000000,51.000000,52.000000,53.000000,53.000000
1554847900,77,53,25.599877,3,16.188753,18.000000,42.000000,50.000000,52.000000,53.000000,53.000000
1554847910,82,53,25.977408,3,15.283228,21.000000,38.000000,50.000000,52.000000,52.000000,53.000000
1554847920,87,53,27.033239,3,14.309408,29.000000,36.000000,50.000000,52.000000,52.000000,53.000000
1554847930,92,53,28.361987,3,14.300615,33.000000,38.000000,50.000000,52.000000,52.000000,53.000000
