t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824111,1,381,381.000000,381,0.000000,381.000000,381.000000,381.000000,381.000000,381.000000,381.000000
1554824121,11,971,427.658056,0,306.165870,381.000000,647.000000,971.000000,971.000000,971.000000,971.000000
1554824131,20,1576,405.698959,0,387.347907,276.000000,462.000000,1576.000000,1576.000000,1576.000000,1576.000000
1554824141,25,1620,441.415347,0,435.129329,281.000000,462.000000,1576.000000,1620.000000,1620.000000,1620.000000
1554824151,30,1620,459.755723,0,450.997268,281.000000,462.000000,1576.000000,1620.000000,1620.000000,1620.000000
1554824161,35,1652,513.181671,0,512.340928,281.000000,490.000000,1620.000000,1652.000000,1652.000000,1652.000000
1554824171,40,1652,545.495908,0,496.274188,316.000000,928.000000,1620.000000,1652.000000,1652.000000,1652.000000
1554824181,45,1652,531.871347,0,496.227241,308.000000,647.000000,1576.000000,1652.000000,1652.000000,1652.000000
1554824191,50,1652,589.590772,0,519.965287,316.000000,1054.000000,1576.000000,1652.000000,1652.000000,1652.000000
1554824201,57,1652,522.610003,0,483.467748,308.000000,616.000000,1534.000000,1620.000000,1652.000000,1652.000000
1554824211,66,1652,496.136754,0,508.365244,292.000000,616.000000,1556.000000,1620.000000,1652.000000,1652.000000
1554824221,78,1652,429.097213,0,483.923496,281.000000,447.000000,1534.000000,1576.000000,1620.000000,1652.000000
1554824231,83,1652,439.576849,0,481.893572,280.000000,496.000000,1534.000000,1576.000000,1620.000000,1652.000000
1554824241,95,1652,385.948192,0,466.733762,262.000000,380.000000,1451.000000,1556.000000,1620.000000,1652.000000
1554824251,118,1652,255.316572,0,417.115141,44.000000,326.000000,1380.000000,1534.000000,1556.000000,1652.000000
1554824261,138,1652,188.796856,0,375.784523,0.000000,256.000000,1344.000000,1504.000000,1556.000000,1652.000000
1554824271,173,1652,165.067504,0,361.609463,11.000000,85.000000,1286.000000,1506.000000,1534.000000,1652.000000
1554824281,225,1652,135.194953,0,333.901912,11.000000,33.000000,1054.000000,1403.000000,1506.000000,1652.000000
1554824291,264,1652,147.934087,0,352.519345,11.000000,44.000000,1158.000000,1414.000000,1556.000000,1620.000000
1554824301,291,1652,154.794779,0,357.502558,12.000000,54.000000,1200.000000,1506.000000,1538.000000,1620.000000
1554824311,303,1652,158.233522,0,353.873688,16.000000,56.000000,1158.000000,1451.000000,1538.000000,1620.000000
1554824321,311,1652,168.921939,0,360.814856,22.000000,118.000000,1200.000000,1471.000000,1538.000000,1620.000000
1554824331,326,1652,168.055251,0,345.024350,22.000000,137.000000,1158.000000,1471.000000,1538.000000,1620.000000
1554824341,361,1652,145.086400,0,308.728026,22.000000,118.000000,1054.000000,1380.000000,1506.000000,1576.000000
1554824351,368,1652,145.506821,0,301.626312,25.000000,126.000000,1000.000000,1344.000000,1506.000000,1576.000000
1554824361,372,1652,145.846315,0,297.438082,31.000000,137.000000,886.000000,1344.000000,1506.000000,1576.000000
1554824371,373,1652,147.521262,0,296.423731,31.000000,151.000000,886.000000,1339.000000,1506.000000,1569.000000
1554824381,373,1652,147.521262,0,296.423731,31.000000,151.000000,886.000000,1339.000000,1506.000000,1569.000000
1554824391,374,1652,151.528636,0,296.709502,33.000000,154.000000,886.000000,1339.000000,1506.000000,1569.000000
1554824401,374,1652,151.528636,0,296.709502,33.000000,154.000000,886.000000,1339.000000,1506.000000,1569.000000
1554824411,374,1652,151.528636,0,296.709502,33.000000,154.000000,886.000000,1339.000000,1506.000000,1569.000000
1554824421,374,1652,151.528636,0,296.709502,33.000000,154.000000,886.000000,1339.000000,1506.000000,1569.000000
