t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824111,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824121,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824131,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824141,5,152,122.118347,76,37.122668,152.000000,152.000000,152.000000,152.000000,152.000000,152.000000
1554824151,10,228,146.788468,76,40.474858,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824161,15,228,148.241498,76,43.569232,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824171,17,228,148.822944,76,40.080650,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824181,19,228,144.099351,76,41.476351,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824191,22,228,140.595139,76,41.000897,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824201,25,228,147.965758,76,42.740716,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824211,25,228,147.965758,76,42.740716,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824221,25,228,147.965758,76,42.740716,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824231,29,228,159.955162,76,45.467006,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824241,29,228,159.955162,76,45.467006,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824251,29,228,159.955162,76,45.467006,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824261,31,228,151.412744,76,47.654913,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824271,33,228,158.290823,76,48.483268,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824281,34,228,164.833694,76,50.431017,152.000000,228.000000,228.000000,228.000000,228.000000,228.000000
1554824291,35,228,170.558513,76,51.396781,152.000000,228.000000,228.000000,228.000000,228.000000,228.000000
1554824301,35,228,170.558513,76,51.396781,152.000000,228.000000,228.000000,228.000000,228.000000,228.000000
1554824311,37,228,174.450701,76,49.526333,152.000000,228.000000,228.000000,228.000000,228.000000,228.000000
1554824321,38,228,180.493804,76,49.629976,152.000000,228.000000,228.000000,228.000000,228.000000,228.000000
1554824331,42,380,228.479111,76,81.145108,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824341,43,380,241.321062,76,88.359345,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824351,43,380,241.321062,76,88.359345,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824361,43,380,241.321062,76,88.359345,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824371,43,380,241.321062,76,88.359345,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824381,43,380,241.321062,76,88.359345,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824391,43,380,241.321062,76,88.359345,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824401,43,380,241.321062,76,88.359345,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824411,43,380,241.321062,76,88.359345,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824421,43,380,241.321062,76,88.359345,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
