t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824123,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824133,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824143,1,840,840.000000,840,0.000000,840.000000,840.000000,840.000000,840.000000,840.000000,840.000000
1554824153,2,983,919.509986,840,71.049913,983.000000,983.000000,983.000000,983.000000,983.000000,983.000000
1554824163,2,983,919.509986,840,71.049913,983.000000,983.000000,983.000000,983.000000,983.000000,983.000000
1554824173,3,983,846.020985,751,99.144145,840.000000,983.000000,983.000000,983.000000,983.000000,983.000000
1554824183,3,983,846.020985,751,99.144145,840.000000,983.000000,983.000000,983.000000,983.000000,983.000000
1554824193,3,983,846.020985,751,99.144145,840.000000,983.000000,983.000000,983.000000,983.000000,983.000000
1554824203,4,983,763.967971,644,125.223449,751.000000,840.000000,983.000000,983.000000,983.000000,983.000000
1554824213,4,983,763.967971,644,125.223449,751.000000,840.000000,983.000000,983.000000,983.000000,983.000000
1554824223,4,983,763.967971,644,125.223449,751.000000,840.000000,983.000000,983.000000,983.000000,983.000000
1554824233,5,983,677.364748,533,149.344185,644.000000,751.000000,983.000000,983.000000,983.000000,983.000000
1554824243,5,983,677.364748,533,149.344185,644.000000,751.000000,983.000000,983.000000,983.000000,983.000000
1554824253,5,983,677.364748,533,149.344185,644.000000,751.000000,983.000000,983.000000,983.000000,983.000000
1554824263,5,983,677.364748,533,149.344185,644.000000,751.000000,983.000000,983.000000,983.000000,983.000000
1554824273,6,983,564.789801,395,180.348525,533.000000,644.000000,983.000000,983.000000,983.000000,983.000000
1554824283,6,983,564.789801,395,180.348525,533.000000,644.000000,983.000000,983.000000,983.000000,983.000000
1554824293,6,983,564.789801,395,180.348525,533.000000,644.000000,983.000000,983.000000,983.000000,983.000000
1554824303,6,983,564.789801,395,180.348525,533.000000,644.000000,983.000000,983.000000,983.000000,983.000000
1554824313,7,983,377.775120,146,247.681893,395.000000,533.000000,840.000000,983.000000,983.000000,983.000000
1554824323,7,983,377.775120,146,247.681893,395.000000,533.000000,840.000000,983.000000,983.000000,983.000000
1554824333,8,983,419.194651,146,204.052881,490.000000,490.000000,751.000000,983.000000,983.000000,983.000000
1554824343,9,983,563.834103,146,285.420439,490.000000,922.000000,922.000000,922.000000,983.000000,983.000000
1554824353,10,983,568.021733,146,245.789053,580.000000,751.000000,922.000000,922.000000,983.000000,983.000000
1554824363,10,983,568.021733,146,245.789053,580.000000,751.000000,922.000000,922.000000,983.000000,983.000000
1554824373,10,983,568.021733,146,245.789053,580.000000,751.000000,922.000000,922.000000,983.000000,983.000000
1554824383,10,983,568.021733,146,245.789053,580.000000,751.000000,922.000000,922.000000,983.000000,983.000000
1554824393,10,983,568.021733,146,245.789053,580.000000,751.000000,922.000000,922.000000,983.000000,983.000000
1554824403,10,983,568.021733,146,245.789053,580.000000,751.000000,922.000000,922.000000,983.000000,983.000000
1554824413,10,983,568.021733,146,245.789053,580.000000,751.000000,922.000000,922.000000,983.000000,983.000000
1554824423,10,983,568.021733,146,245.789053,580.000000,751.000000,922.000000,922.000000,983.000000,983.000000
1554824433,10,983,568.021733,146,245.789053,580.000000,751.000000,922.000000,922.000000,983.000000,983.000000
