t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824103,3,406,157.679889,22,177.058184,42.000000,406.000000,406.000000,406.000000,406.000000,406.000000
1554824113,6,406,87.570671,6,138.717127,22.000000,55.000000,406.000000,406.000000,406.000000,406.000000
1554824123,10,406,57.121505,6,108.795935,19.000000,42.000000,406.000000,406.000000,406.000000,406.000000
1554824133,14,406,46.208343,6,90.019916,18.000000,42.000000,406.000000,406.000000,406.000000,406.000000
1554824143,19,999,147.477520,6,266.987995,22.000000,55.000000,999.000000,999.000000,999.000000,999.000000
1554824153,24,999,147.348977,6,255.656268,25.000000,83.000000,596.000000,999.000000,999.000000,999.000000
1554824163,28,999,119.444776,6,234.966083,17.000000,50.000000,596.000000,999.000000,999.000000,999.000000
1554824173,33,999,104.974365,2,212.395884,18.000000,50.000000,596.000000,999.000000,999.000000,999.000000
1554824183,37,999,119.728913,2,218.962918,18.000000,83.000000,596.000000,999.000000,999.000000,999.000000
1554824193,41,999,100.364379,1,204.153456,17.000000,47.000000,586.000000,596.000000,999.000000,999.000000
1554824203,45,999,172.960968,1,285.052479,18.000000,202.000000,983.000000,983.000000,999.000000,999.000000
1554824213,50,999,158.290564,1,265.341659,18.000000,202.000000,596.000000,983.000000,999.000000,999.000000
1554824223,52,999,201.988954,1,295.084798,20.000000,381.000000,797.000000,983.000000,999.000000,999.000000
1554824233,55,999,178.844563,1,282.204291,19.000000,244.000000,797.000000,983.000000,999.000000,999.000000
1554824243,60,999,154.054005,1,259.515028,22.000000,163.000000,797.000000,983.000000,983.000000,999.000000
1554824253,64,999,142.959145,1,241.117765,23.000000,163.000000,600.000000,983.000000,983.000000,999.000000
1554824263,69,999,124.656263,1,223.485757,18.000000,163.000000,600.000000,983.000000,983.000000,999.000000
1554824273,74,999,104.995462,1,207.645984,17.000000,56.000000,596.000000,797.000000,983.000000,999.000000
1554824283,78,999,118.752675,1,232.450551,16.000000,56.000000,776.000000,797.000000,983.000000,999.000000
1554824293,81,999,118.152609,1,221.255185,16.000000,161.000000,776.000000,797.000000,983.000000,999.000000
1554824303,85,999,106.967021,1,207.738281,14.000000,156.000000,600.000000,797.000000,983.000000,999.000000
1554824313,89,999,127.770017,1,251.351188,11.000000,156.000000,797.000000,922.000000,922.000000,999.000000
1554824323,94,999,137.821582,1,250.337353,10.000000,161.000000,776.000000,922.000000,922.000000,999.000000
1554824333,99,999,114.975517,1,233.938992,8.000000,56.000000,776.000000,922.000000,922.000000,999.000000
1554824343,102,999,104.472473,1,223.921965,7.000000,43.000000,600.000000,922.000000,922.000000,999.000000
1554824353,102,999,104.472473,1,223.921965,7.000000,43.000000,600.000000,922.000000,922.000000,999.000000
1554824363,102,999,104.472473,1,223.921965,7.000000,43.000000,600.000000,922.000000,922.000000,999.000000
1554824373,102,999,104.472473,1,223.921965,7.000000,43.000000,600.000000,922.000000,922.000000,999.000000
1554824383,102,999,104.472473,1,223.921965,7.000000,43.000000,600.000000,922.000000,922.000000,999.000000
1554824393,102,999,104.472473,1,223.921965,7.000000,43.000000,600.000000,922.000000,922.000000,999.000000
1554824403,103,999,133.296794,1,236.666404,9.000000,161.000000,600.000000,922.000000,922.000000,999.000000
1554824413,103,999,133.296794,1,236.666404,9.000000,161.000000,600.000000,922.000000,922.000000,999.000000
1554824423,103,999,133.296794,1,236.666404,9.000000,161.000000,600.000000,922.000000,922.000000,999.000000
