t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847743,1,15,15.000000,15,0.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1554847753,4,427,113.058145,8,179.408034,9.000000,15.000000,427.000000,427.000000,427.000000,427.000000
1554847763,9,427,53.134239,7,123.195291,9.000000,24.000000,427.000000,427.000000,427.000000,427.000000
1554847773,13,625,92.562893,6,193.931980,9.000000,24.000000,625.000000,625.000000,625.000000,625.000000
1554847783,18,625,67.144992,5,161.276353,20.000000,23.000000,625.000000,625.000000,625.000000,625.000000
1554847793,22,636,117.441662,5,211.964212,20.000000,24.000000,636.000000,636.000000,636.000000,636.000000
1554847803,27,636,89.691147,3,188.638139,19.000000,23.000000,625.000000,636.000000,636.000000,636.000000
1554847813,31,636,83.150835,3,174.653132,19.000000,23.000000,625.000000,636.000000,636.000000,636.000000
1554847823,35,636,107.265380,3,195.442461,19.000000,35.000000,625.000000,636.000000,636.000000,636.000000
1554847833,40,636,110.308518,2,207.480186,16.000000,35.000000,635.000000,636.000000,636.000000,636.000000
1554847843,43,636,125.807564,2,219.713868,19.000000,80.000000,635.000000,636.000000,636.000000,636.000000
1554847853,48,636,121.802523,2,209.793127,21.000000,80.000000,625.000000,635.000000,636.000000,636.000000
1554847863,52,803,159.957286,2,254.718938,21.000000,217.000000,636.000000,803.000000,803.000000,803.000000
1554847873,54,816,181.621378,2,280.307391,21.000000,421.000000,803.000000,816.000000,816.000000,816.000000
1554847883,59,816,162.831306,2,264.561465,19.000000,217.000000,803.000000,816.000000,816.000000,816.000000
1554847893,62,816,183.970586,2,279.849464,19.000000,415.000000,803.000000,816.000000,816.000000,816.000000
1554847903,67,816,164.727946,2,258.658669,19.000000,214.000000,793.000000,816.000000,816.000000,816.000000
1554847913,72,816,137.347417,2,241.861840,8.000000,191.000000,793.000000,816.000000,816.000000,816.000000
1554847923,77,988,149.321411,2,275.087311,8.000000,191.000000,816.000000,988.000000,988.000000,988.000000
1554847933,82,988,139.050686,2,254.474118,19.000000,184.000000,803.000000,988.000000,988.000000,988.000000
