t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824119,2,1132,744.616304,363,384.489186,363.000000,1132.000000,1132.000000,1132.000000,1132.000000,1132.000000
1554824129,7,1432,1048.003151,250,463.173315,1332.000000,1378.000000,1432.000000,1432.000000,1432.000000,1432.000000
1554824139,12,1432,815.861203,179,499.405612,936.000000,1332.000000,1432.000000,1432.000000,1432.000000,1432.000000
1554824149,17,1432,735.589758,44,526.041016,936.000000,1332.000000,1432.000000,1432.000000,1432.000000,1432.000000
1554824159,22,1432,734.436185,44,471.355000,933.000000,1132.000000,1378.000000,1432.000000,1432.000000,1432.000000
1554824169,27,1432,711.020914,44,476.827208,514.000000,1134.000000,1378.000000,1432.000000,1432.000000,1432.000000
1554824179,32,1432,702.158186,44,470.548352,514.000000,1149.000000,1378.000000,1432.000000,1432.000000,1432.000000
1554824189,37,1432,588.221200,25,476.665897,330.000000,1132.000000,1378.000000,1378.000000,1432.000000,1432.000000
1554824199,42,1432,590.260337,25,487.403986,292.000000,1113.000000,1367.000000,1378.000000,1432.000000,1432.000000
1554824209,47,1432,552.169372,16,497.512198,278.000000,1113.000000,1367.000000,1378.000000,1432.000000,1432.000000
1554824219,52,1432,631.947839,16,515.511501,330.000000,1187.000000,1356.000000,1378.000000,1378.000000,1432.000000
1554824229,57,1432,610.367758,8,511.293238,281.000000,1187.000000,1356.000000,1378.000000,1378.000000,1432.000000
1554824239,62,1432,619.845454,8,506.812709,330.000000,1149.000000,1356.000000,1378.000000,1378.000000,1432.000000
1554824249,67,1432,634.503355,8,503.908951,336.000000,1134.000000,1378.000000,1415.000000,1415.000000,1432.000000
1554824259,72,1432,573.164839,8,496.889781,278.000000,1024.000000,1367.000000,1415.000000,1415.000000,1432.000000
1554824269,77,1432,567.442158,8,495.992933,273.000000,979.000000,1387.000000,1415.000000,1415.000000,1432.000000
1554824279,82,1432,598.712493,8,481.782514,356.000000,1105.000000,1378.000000,1415.000000,1415.000000,1432.000000
1554824289,87,1432,543.485199,8,465.365122,320.000000,933.000000,1367.000000,1387.000000,1415.000000,1432.000000
1554824299,92,1432,588.665721,8,485.666518,330.000000,1078.000000,1387.000000,1389.000000,1415.000000,1432.000000
1554824309,97,1432,612.381005,8,496.724809,336.000000,1120.000000,1387.000000,1389.000000,1415.000000,1432.000000
1554824319,102,1432,623.023747,8,506.286043,330.000000,1150.000000,1389.000000,1392.000000,1415.000000,1432.000000
1554824329,107,1444,660.378006,8,518.795367,336.000000,1208.000000,1425.000000,1444.000000,1444.000000,1444.000000
1554824339,112,1444,659.901482,8,511.761941,356.000000,1190.000000,1425.000000,1444.000000,1444.000000,1444.000000
1554824349,117,1444,609.353581,8,491.639724,336.000000,1078.000000,1415.000000,1444.000000,1444.000000,1444.000000
1554824359,122,1444,575.208628,8,469.496118,336.000000,1026.000000,1392.000000,1425.000000,1444.000000,1444.000000
1554824369,127,1444,577.818160,8,447.130870,358.000000,889.000000,1392.000000,1425.000000,1444.000000,1444.000000
1554824379,132,1444,536.720468,8,429.419153,336.000000,845.000000,1389.000000,1425.000000,1444.000000,1444.000000
1554824389,137,1444,475.683688,8,425.572709,291.000000,727.000000,1378.000000,1425.000000,1444.000000,1444.000000
1554824399,141,1444,444.605536,8,409.272634,256.000000,711.000000,1367.000000,1425.000000,1444.000000,1444.000000
1554824409,143,1444,426.980221,8,401.418159,245.000000,533.000000,1367.000000,1415.000000,1432.000000,1444.000000
1554824419,144,1444,433.146149,8,395.034574,248.000000,591.000000,1356.000000,1415.000000,1425.000000,1444.000000
1554824429,144,1444,433.146149,8,395.034574,248.000000,591.000000,1356.000000,1415.000000,1425.000000,1444.000000
