t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847753,1,54,54.000000,54,0.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000
1554847763,6,583,234.928577,14,249.699503,54.000000,583.000000,583.000000,583.000000,583.000000,583.000000
1554847773,11,583,141.995740,14,206.057381,14.000000,182.000000,583.000000,583.000000,583.000000,583.000000
1554847783,15,583,156.846260,12,216.030884,14.000000,182.000000,583.000000,583.000000,583.000000,583.000000
1554847793,19,978,193.878799,11,282.919868,14.000000,194.000000,978.000000,978.000000,978.000000,978.000000
1554847803,24,978,149.511996,8,251.628549,14.000000,181.000000,583.000000,978.000000,978.000000,978.000000
1554847813,29,978,153.302298,6,264.293488,19.000000,146.000000,769.000000,978.000000,978.000000,978.000000
1554847823,33,978,128.952963,6,244.036082,19.000000,125.000000,769.000000,978.000000,978.000000,978.000000
1554847833,38,978,141.572146,6,237.765205,19.000000,148.000000,769.000000,978.000000,978.000000,978.000000
1554847843,41,978,157.574485,6,242.851307,19.000000,181.000000,590.000000,769.000000,978.000000,978.000000
1554847853,46,978,175.778023,6,278.445870,19.000000,158.000000,971.000000,971.000000,978.000000,978.000000
1554847863,50,978,175.822651,6,259.998587,23.000000,181.000000,769.000000,971.000000,978.000000,978.000000
1554847873,52,978,176.915255,6,253.690256,23.000000,184.000000,769.000000,971.000000,978.000000,978.000000
1554847883,57,978,144.614277,6,236.691333,19.000000,158.000000,590.000000,971.000000,971.000000,978.000000
1554847893,60,978,170.594093,6,255.951928,19.000000,184.000000,761.000000,971.000000,971.000000,978.000000
1554847903,66,978,187.882952,6,279.818605,19.000000,342.000000,761.000000,971.000000,971.000000,978.000000
1554847913,71,978,168.873844,4,262.955580,19.000000,194.000000,761.000000,971.000000,971.000000,978.000000
1554847923,76,978,155.489798,4,247.551652,20.000000,184.000000,742.000000,769.000000,971.000000,978.000000
