t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824117,2,82,63.222521,45,18.497919,45.000000,82.000000,82.000000,82.000000,82.000000,82.000000
1554824127,7,442,145.186966,8,169.453897,45.000000,376.000000,442.000000,442.000000,442.000000,442.000000
1554824137,12,442,93.007165,4,136.977094,41.000000,45.000000,442.000000,442.000000,442.000000,442.000000
1554824147,17,442,74.725349,4,113.398885,37.000000,45.000000,442.000000,442.000000,442.000000,442.000000
1554824157,22,442,87.818268,4,130.632111,39.000000,53.000000,436.000000,442.000000,442.000000,442.000000
1554824167,27,442,75.822425,4,115.298899,37.000000,53.000000,436.000000,442.000000,442.000000,442.000000
1554824177,32,442,67.915463,4,102.572760,37.000000,50.000000,436.000000,442.000000,442.000000,442.000000
1554824187,37,442,59.226027,4,93.060555,37.000000,49.000000,376.000000,436.000000,442.000000,442.000000
1554824197,42,442,54.790980,4,84.190801,36.000000,49.000000,82.000000,436.000000,442.000000,442.000000
1554824207,47,442,49.614753,4,76.998871,35.000000,47.000000,73.000000,436.000000,442.000000,442.000000
1554824217,52,442,59.180228,4,99.249446,35.000000,47.000000,430.000000,436.000000,436.000000,442.000000
1554824227,57,442,55.811368,4,90.884568,35.000000,47.000000,376.000000,430.000000,436.000000,442.000000
1554824237,62,442,51.137147,4,83.816085,35.000000,46.000000,82.000000,430.000000,436.000000,442.000000
1554824247,67,442,48.490060,4,77.569028,33.000000,46.000000,76.000000,430.000000,436.000000,442.000000
1554824257,72,442,47.242392,4,71.769043,33.000000,46.000000,76.000000,430.000000,436.000000,442.000000
1554824267,77,442,49.106579,4,67.043296,35.000000,50.000000,101.000000,430.000000,430.000000,442.000000
1554824277,82,442,48.985608,4,61.863325,38.000000,50.000000,82.000000,430.000000,430.000000,442.000000
1554824287,87,442,55.020614,4,61.014896,45.000000,63.000000,101.000000,173.000000,430.000000,442.000000
1554824297,92,442,53.445183,4,56.561024,42.000000,63.000000,101.000000,173.000000,430.000000,442.000000
1554824307,97,442,51.658039,4,52.785459,44.000000,61.000000,101.000000,173.000000,430.000000,442.000000
1554824317,102,442,49.611940,4,49.140559,42.000000,56.000000,85.000000,173.000000,430.000000,442.000000
1554824327,107,442,48.144238,4,45.688102,45.000000,50.000000,85.000000,173.000000,376.000000,442.000000
1554824337,112,442,46.990823,4,42.641659,41.000000,49.000000,76.000000,173.000000,173.000000,442.000000
1554824347,117,442,46.293240,4,39.519395,43.000000,49.000000,74.000000,101.000000,173.000000,442.000000
1554824357,122,442,53.719697,4,48.652744,43.000000,50.000000,126.000000,208.000000,208.000000,436.000000
1554824367,126,524,79.286477,4,101.396847,46.000000,63.000000,306.000000,524.000000,524.000000,524.000000
1554824377,128,524,94.251814,4,114.010911,46.000000,76.000000,345.000000,524.000000,524.000000,524.000000
1554824387,129,524,97.595388,4,113.301213,47.000000,95.000000,345.000000,524.000000,524.000000,524.000000
1554824397,129,524,97.595388,4,113.301213,47.000000,95.000000,345.000000,524.000000,524.000000,524.000000
1554824407,130,683,122.986249,4,162.787001,48.000000,126.000000,524.000000,683.000000,683.000000,683.000000
1554824417,130,683,122.986249,4,162.787001,48.000000,126.000000,524.000000,683.000000,683.000000,683.000000
1554824427,130,683,122.986249,4,162.787001,48.000000,126.000000,524.000000,683.000000,683.000000,683.000000
