t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847740,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554847750,5,320,147.592543,11,125.319792,126.000000,256.000000,320.000000,320.000000,320.000000,320.000000
1554847760,10,350,207.030810,11,112.775752,256.000000,293.000000,350.000000,350.000000,350.000000,350.000000
1554847770,15,1311,366.157437,11,342.265492,256.000000,350.000000,1311.000000,1311.000000,1311.000000,1311.000000
1554847780,20,1311,401.070204,11,361.550945,256.000000,733.000000,1041.000000,1311.000000,1311.000000,1311.000000
1554847790,25,1311,355.968291,11,321.640388,250.000000,356.000000,1041.000000,1311.000000,1311.000000,1311.000000
1554847800,30,1397,382.904975,11,368.320337,250.000000,449.000000,1311.000000,1397.000000,1397.000000,1397.000000
1554847810,35,1485,455.135464,11,455.696628,254.000000,449.000000,1436.000000,1485.000000,1485.000000,1485.000000
1554847820,40,1602,547.969610,11,517.714264,278.000000,1041.000000,1485.000000,1602.000000,1602.000000,1602.000000
1554847830,45,1602,602.855137,11,549.072745,320.000000,1194.000000,1485.000000,1602.000000,1602.000000,1602.000000
1554847840,50,1602,589.235273,11,551.523786,343.000000,1194.000000,1580.000000,1602.000000,1602.000000,1602.000000
1554847850,55,1602,639.472837,11,552.001579,350.000000,1245.000000,1580.000000,1602.000000,1602.000000,1602.000000
1554847860,60,1602,677.622509,11,560.646652,377.000000,1311.000000,1485.000000,1580.000000,1602.000000,1602.000000
1554847870,65,1602,635.906849,11,543.849823,350.000000,1226.000000,1478.000000,1580.000000,1602.000000,1602.000000
1554847880,70,1602,644.547569,11,549.999334,377.000000,1245.000000,1478.000000,1580.000000,1602.000000,1602.000000
1554847890,75,1602,594.489846,11,526.364794,393.000000,1194.000000,1436.000000,1580.000000,1602.000000,1602.000000
1554847900,80,1602,585.030781,11,517.692141,377.000000,1184.000000,1436.000000,1580.000000,1580.000000,1602.000000
1554847910,85,1602,519.216967,11,504.461689,314.000000,1041.000000,1436.000000,1485.000000,1580.000000,1602.000000
1554847920,90,1602,527.226675,11,495.944162,295.000000,893.000000,1436.000000,1485.000000,1580.000000,1602.000000
1554847930,95,1602,555.078811,11,463.891188,381.000000,804.000000,1400.000000,1478.000000,1580.000000,1602.000000
