t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554847750,3,279,100.977686,0,128.901039,16.000000,279.000000,279.000000,279.000000,279.000000,279.000000
1554847760,8,308,154.003793,0,139.900691,270.000000,296.000000,308.000000,308.000000,308.000000,308.000000
1554847770,13,1515,298.460150,0,381.358291,267.000000,308.000000,1515.000000,1515.000000,1515.000000,1515.000000
1554847780,18,1544,526.938244,0,570.257617,270.000000,1344.000000,1544.000000,1544.000000,1544.000000,1544.000000
1554847790,23,1544,557.422367,0,602.110358,267.000000,1344.000000,1515.000000,1544.000000,1544.000000,1544.000000
1554847800,28,1544,644.140176,0,612.506653,278.000000,1360.000000,1515.000000,1544.000000,1544.000000,1544.000000
1554847810,33,1613,725.293764,0,632.132591,279.000000,1438.000000,1551.000000,1613.000000,1613.000000,1613.000000
1554847820,38,1613,705.789566,0,628.650781,278.000000,1438.000000,1551.000000,1613.000000,1613.000000,1613.000000
1554847830,43,1613,668.071771,0,607.636254,279.000000,1413.000000,1551.000000,1613.000000,1613.000000,1613.000000
1554847840,48,1613,716.550505,0,587.224993,352.000000,1360.000000,1549.000000,1613.000000,1613.000000,1613.000000
1554847850,53,1613,714.570689,0,598.946585,336.000000,1413.000000,1549.000000,1551.000000,1613.000000,1613.000000
1554847860,58,1613,815.220253,0,595.022838,848.000000,1413.000000,1549.000000,1551.000000,1613.000000,1613.000000
1554847870,63,1613,866.482824,0,584.040989,1249.000000,1373.000000,1544.000000,1551.000000,1613.000000,1613.000000
1554847880,68,1613,867.021415,0,578.916301,1256.000000,1367.000000,1526.000000,1551.000000,1613.000000,1613.000000
1554847890,73,1613,906.830095,0,575.400582,1256.000000,1367.000000,1526.000000,1549.000000,1551.000000,1613.000000
1554847900,78,1613,908.791696,0,555.827950,1256.000000,1367.000000,1526.000000,1549.000000,1551.000000,1613.000000
1554847910,83,1613,854.457415,0,551.409664,1064.000000,1356.000000,1526.000000,1549.000000,1551.000000,1613.000000
1554847920,88,1613,857.982083,0,541.330731,1173.000000,1347.000000,1526.000000,1544.000000,1551.000000,1613.000000
1554847930,93,1613,837.357362,0,556.543060,1064.000000,1356.000000,1515.000000,1526.000000,1551.000000,1613.000000
