t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824114,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824124,1,27,27.000000,27,0.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000
1554824134,2,202,122.353806,27,87.146817,202.000000,202.000000,202.000000,202.000000,202.000000,202.000000
1554824144,2,202,122.353806,27,87.146817,202.000000,202.000000,202.000000,202.000000,202.000000,202.000000
1554824154,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824164,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824174,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824184,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824194,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824204,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824214,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824224,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824234,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824244,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824254,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824264,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824274,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824284,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824294,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824304,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824314,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824324,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824334,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824344,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824354,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824364,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824374,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824384,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824394,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824404,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824414,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
1554824424,3,933,442.394589,27,402.007455,202.000000,933.000000,933.000000,933.000000,933.000000,933.000000
