t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824114,2,18,17.014999,16,0.999888,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000
1554824124,7,21,13.217305,1,8.266590,18.000000,20.000000,21.000000,21.000000,21.000000,21.000000
1554824134,11,34,14.489353,1,9.898687,16.000000,20.000000,34.000000,34.000000,34.000000,34.000000
1554824144,16,833,108.232905,1,239.072397,16.000000,21.000000,833.000000,833.000000,833.000000,833.000000
1554824154,20,833,84.545935,1,209.595100,16.000000,21.000000,833.000000,833.000000,833.000000,833.000000
1554824164,25,833,101.478573,1,224.179759,14.000000,29.000000,628.000000,833.000000,833.000000,833.000000
1554824174,30,833,78.606348,1,199.357178,12.000000,18.000000,628.000000,833.000000,833.000000,833.000000
1554824184,34,833,68.703464,1,181.545282,13.000000,25.000000,628.000000,833.000000,833.000000,833.000000
1554824194,38,833,75.426228,1,181.989649,12.000000,25.000000,628.000000,833.000000,833.000000,833.000000
1554824204,42,833,82.120868,1,181.377507,13.000000,25.000000,432.000000,628.000000,833.000000,833.000000
1554824214,47,833,102.795225,1,219.160887,18.000000,35.000000,818.000000,818.000000,833.000000,833.000000
1554824224,49,833,97.339165,1,210.733350,18.000000,35.000000,818.000000,818.000000,833.000000,833.000000
1554824234,52,833,87.480161,1,198.156822,19.000000,34.000000,628.000000,818.000000,833.000000,833.000000
1554824244,56,833,109.659463,1,232.637021,25.000000,39.000000,818.000000,826.000000,826.000000,833.000000
1554824254,59,833,99.009154,1,219.113298,24.000000,37.000000,818.000000,826.000000,826.000000,833.000000
1554824264,64,833,83.424040,1,199.163262,20.000000,34.000000,818.000000,826.000000,826.000000,833.000000
1554824274,69,833,72.721735,1,181.281543,20.000000,33.000000,628.000000,826.000000,826.000000,833.000000
1554824284,74,833,78.537035,1,179.192641,21.000000,34.000000,450.000000,826.000000,826.000000,833.000000
1554824294,77,833,72.419713,1,170.314153,23.000000,33.000000,450.000000,826.000000,826.000000,833.000000
1554824304,82,833,87.979500,1,183.514118,23.000000,34.000000,593.000000,818.000000,826.000000,833.000000
1554824314,85,833,94.059220,1,181.902962,25.000000,39.000000,593.000000,818.000000,826.000000,833.000000
1554824324,90,833,134.373479,1,223.351227,25.000000,50.000000,807.000000,807.000000,826.000000,833.000000
1554824334,95,833,113.873794,1,208.794263,23.000000,42.000000,593.000000,807.000000,826.000000,833.000000
1554824344,99,833,104.621339,1,195.814074,26.000000,43.000000,593.000000,807.000000,818.000000,833.000000
1554824354,99,833,104.621339,1,195.814074,26.000000,43.000000,593.000000,807.000000,818.000000,833.000000
1554824364,99,833,104.621339,1,195.814074,26.000000,43.000000,593.000000,807.000000,818.000000,833.000000
1554824374,99,833,104.621339,1,195.814074,26.000000,43.000000,593.000000,807.000000,818.000000,833.000000
1554824384,99,833,104.621339,1,195.814074,26.000000,43.000000,593.000000,807.000000,818.000000,833.000000
1554824394,99,833,104.621339,1,195.814074,26.000000,43.000000,593.000000,807.000000,818.000000,833.000000
1554824404,100,911,165.670994,1,284.503657,27.000000,51.000000,911.000000,911.000000,911.000000,911.000000
1554824414,100,911,165.670994,1,284.503657,27.000000,51.000000,911.000000,911.000000,911.000000,911.000000
1554824424,100,911,165.670994,1,284.503657,27.000000,51.000000,911.000000,911.000000,911.000000,911.000000
