t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824112,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824122,1,282,282.000000,282,0.000000,282.000000,282.000000,282.000000,282.000000,282.000000,282.000000
1554824132,1,282,282.000000,282,0.000000,282.000000,282.000000,282.000000,282.000000,282.000000,282.000000
1554824142,1,282,282.000000,282,0.000000,282.000000,282.000000,282.000000,282.000000,282.000000,282.000000
1554824152,2,691,525.879624,282,200.672607,691.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824162,2,691,525.879624,282,200.672607,691.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824172,2,691,525.879624,282,200.672607,691.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824182,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824192,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824202,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824212,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824222,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824232,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824242,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824252,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824262,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824272,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824282,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824292,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824302,3,691,529.773356,282,144.833261,534.000000,691.000000,691.000000,691.000000,691.000000,691.000000
1554824312,4,691,206.369749,116,183.867593,116.000000,116.000000,691.000000,691.000000,691.000000,691.000000
1554824322,4,691,206.369749,116,183.867593,116.000000,116.000000,691.000000,691.000000,691.000000,691.000000
1554824332,4,691,206.369749,116,183.867593,116.000000,116.000000,691.000000,691.000000,691.000000,691.000000
1554824342,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
1554824352,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
1554824362,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
1554824372,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
1554824382,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
1554824392,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
1554824402,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
1554824412,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
1554824422,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
1554824432,5,691,327.277940,116,162.824920,423.000000,423.000000,534.000000,691.000000,691.000000,691.000000
