t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824105,1,1208,1208.000000,1208,0.000000,1208.000000,1208.000000,1208.000000,1208.000000,1208.000000,1208.000000
1554824115,6,1278,627.645517,16,540.022596,272.000000,1208.000000,1278.000000,1278.000000,1278.000000,1278.000000
1554824125,11,1560,554.620358,16,535.889312,272.000000,1208.000000,1560.000000,1560.000000,1560.000000,1560.000000
1554824135,16,1578,632.819059,16,570.360926,274.000000,1278.000000,1578.000000,1578.000000,1578.000000,1578.000000
1554824145,21,1578,650.331109,16,591.018737,274.000000,1367.000000,1578.000000,1578.000000,1578.000000,1578.000000
1554824155,26,1720,734.691378,16,617.302659,292.000000,1457.000000,1578.000000,1720.000000,1720.000000,1720.000000
1554824165,31,1720,785.493120,16,622.337146,324.000000,1445.000000,1578.000000,1720.000000,1720.000000,1720.000000
1554824175,36,1742,792.995925,16,641.007507,324.000000,1457.000000,1720.000000,1742.000000,1742.000000,1742.000000
1554824185,41,1742,768.961140,16,636.454289,324.000000,1457.000000,1720.000000,1742.000000,1742.000000,1742.000000
1554824195,46,1742,803.893070,16,616.108758,568.000000,1479.000000,1589.000000,1742.000000,1742.000000,1742.000000
1554824205,51,1742,811.705113,16,614.625244,568.000000,1468.000000,1589.000000,1742.000000,1742.000000,1742.000000
1554824215,56,1742,906.018266,16,605.634356,921.000000,1503.000000,1653.000000,1720.000000,1742.000000,1742.000000
1554824225,61,1742,943.752117,16,595.547054,1278.000000,1479.000000,1653.000000,1720.000000,1742.000000,1742.000000
1554824235,66,1742,928.506301,16,589.345292,1245.000000,1390.000000,1589.000000,1720.000000,1742.000000,1742.000000
1554824245,71,1742,962.345519,16,580.108884,1278.000000,1390.000000,1589.000000,1653.000000,1742.000000,1742.000000
1554824255,76,1742,956.329668,16,565.398412,1246.000000,1378.000000,1589.000000,1653.000000,1720.000000,1742.000000
1554824265,81,1742,913.288938,16,575.070080,1244.000000,1378.000000,1653.000000,1667.000000,1720.000000,1742.000000
1554824275,86,1742,929.636208,16,584.153231,1245.000000,1429.000000,1606.000000,1667.000000,1720.000000,1742.000000
1554824285,91,1742,888.501853,16,609.749255,1244.000000,1457.000000,1606.000000,1667.000000,1667.000000,1742.000000
1554824295,96,1742,929.507233,16,606.999635,1278.000000,1429.000000,1615.000000,1667.000000,1667.000000,1742.000000
1554824305,101,1742,928.593031,16,616.892304,1311.000000,1460.000000,1633.000000,1667.000000,1667.000000,1742.000000
1554824315,106,1742,862.380115,16,615.062034,1244.000000,1429.000000,1615.000000,1653.000000,1667.000000,1742.000000
1554824325,111,1742,748.086945,0,633.819735,394.000000,1378.000000,1615.000000,1653.000000,1667.000000,1742.000000
1554824335,116,1823,766.630750,0,647.669381,433.000000,1385.000000,1633.000000,1823.000000,1823.000000,1823.000000
1554824345,120,1823,711.748394,0,649.616139,339.000000,1367.000000,1633.000000,1823.000000,1823.000000,1823.000000
1554824355,123,1823,661.210208,0,640.721717,289.000000,1349.000000,1633.000000,1823.000000,1823.000000,1823.000000
1554824365,125,1823,641.050472,0,624.609402,289.000000,1345.000000,1615.000000,1823.000000,1823.000000,1823.000000
1554824375,126,3322,740.781989,0,795.646009,363.000000,1367.000000,1823.000000,3322.000000,3322.000000,3322.000000
1554824385,126,3322,740.781989,0,795.646009,363.000000,1367.000000,1823.000000,3322.000000,3322.000000,3322.000000
1554824395,126,3322,740.781989,0,795.646009,363.000000,1367.000000,1823.000000,3322.000000,3322.000000,3322.000000
1554824405,127,8467,1148.940619,0,1893.815969,367.000000,1385.000000,8467.000000,8467.000000,8467.000000,8467.000000
1554824415,127,8467,1148.940619,0,1893.815969,367.000000,1385.000000,8467.000000,8467.000000,8467.000000,8467.000000
1554824425,127,8467,1148.940619,0,1893.815969,367.000000,1385.000000,8467.000000,8467.000000,8467.000000,8467.000000
