t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824105,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824115,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824125,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824135,4,152,115.284682,76,37.978278,152.000000,152.000000,152.000000,152.000000,152.000000,152.000000
1554824145,8,228,136.067567,76,50.949160,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824155,10,228,148.410629,76,53.343701,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824165,16,228,138.512083,76,47.375683,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824175,21,228,133.263767,76,45.253611,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824185,24,228,128.110311,76,45.319170,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824195,27,228,127.947234,76,43.781991,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824205,31,228,128.934858,76,41.782375,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824215,31,228,128.934858,76,41.782375,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824225,32,228,120.796088,0,51.173236,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824235,32,228,120.796088,0,51.173236,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824245,32,228,120.796088,0,51.173236,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824255,32,228,120.796088,0,51.173236,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824265,35,228,115.835790,0,48.349275,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824275,35,228,115.835790,0,48.349275,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824285,36,228,119.795554,0,47.002293,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824295,36,228,119.795554,0,47.002293,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824305,36,228,119.795554,0,47.002293,152.000000,152.000000,152.000000,228.000000,228.000000,228.000000
1554824315,38,228,137.916855,0,54.419236,152.000000,152.000000,228.000000,228.000000,228.000000,228.000000
1554824325,41,304,181.035513,0,81.411352,152.000000,228.000000,304.000000,304.000000,304.000000,304.000000
1554824335,44,304,199.103154,0,78.948833,228.000000,228.000000,304.000000,304.000000,304.000000,304.000000
1554824345,46,304,210.220836,0,77.952564,228.000000,304.000000,304.000000,304.000000,304.000000,304.000000
1554824355,47,380,225.094637,0,88.590532,228.000000,304.000000,380.000000,380.000000,380.000000,380.000000
1554824365,49,532,272.756178,0,131.537838,228.000000,304.000000,532.000000,532.000000,532.000000,532.000000
1554824375,49,532,272.756178,0,131.537838,228.000000,304.000000,532.000000,532.000000,532.000000,532.000000
1554824385,50,608,307.754231,0,161.257379,304.000000,456.000000,608.000000,608.000000,608.000000,608.000000
1554824395,51,684,345.299607,0,190.067503,304.000000,532.000000,684.000000,684.000000,684.000000,684.000000
1554824405,53,760,418.336471,0,227.055245,380.000000,684.000000,760.000000,760.000000,760.000000,760.000000
1554824415,54,760,451.796632,0,238.364780,456.000000,684.000000,760.000000,760.000000,760.000000,760.000000
1554824425,55,836,495.481376,0,255.407392,532.000000,760.000000,836.000000,836.000000,836.000000,836.000000
