t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824105,2,17,16.014999,15,0.999888,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1554824115,6,54,21.462142,8,16.033329,17.000000,22.000000,54.000000,54.000000,54.000000,54.000000
1554824125,11,553,130.482151,2,206.668330,17.000000,132.000000,553.000000,553.000000,553.000000,553.000000
1554824135,16,553,96.776913,2,172.720659,17.000000,132.000000,553.000000,553.000000,553.000000,553.000000
1554824145,19,553,79.197811,2,157.695257,15.000000,54.000000,533.000000,553.000000,553.000000,553.000000
1554824155,23,553,64.132048,2,140.479083,14.000000,22.000000,533.000000,553.000000,553.000000,553.000000
1554824165,28,553,52.539168,2,122.752514,15.000000,23.000000,533.000000,553.000000,553.000000,553.000000
1554824175,32,737,85.806536,2,183.442264,18.000000,54.000000,553.000000,737.000000,737.000000,737.000000
1554824185,37,737,71.756672,2,164.256758,20.000000,44.000000,553.000000,737.000000,737.000000,737.000000
1554824195,42,737,87.237005,2,175.431423,20.000000,53.000000,535.000000,737.000000,737.000000,737.000000
1554824205,44,737,86.606575,2,168.750287,20.000000,54.000000,535.000000,737.000000,737.000000,737.000000
1554824215,49,969,111.997594,2,227.669393,19.000000,55.000000,737.000000,969.000000,969.000000,969.000000
1554824225,54,969,151.200796,2,261.655142,21.000000,133.000000,932.000000,969.000000,969.000000,969.000000
1554824235,55,969,159.080223,2,258.347033,22.000000,135.000000,932.000000,969.000000,969.000000,969.000000
1554824245,60,969,129.760810,1,239.116436,18.000000,130.000000,932.000000,969.000000,969.000000,969.000000
1554824255,64,969,151.204911,1,252.522713,20.000000,135.000000,737.000000,932.000000,969.000000,969.000000
1554824265,69,969,178.357964,1,278.989085,20.000000,147.000000,731.000000,932.000000,969.000000,969.000000
1554824275,74,969,160.645128,1,261.537888,20.000000,138.000000,731.000000,932.000000,969.000000,969.000000
1554824285,79,969,135.893213,1,244.680703,19.000000,130.000000,731.000000,932.000000,969.000000,969.000000
1554824295,84,969,173.587037,1,271.431506,21.000000,320.000000,728.000000,737.000000,932.000000,969.000000
1554824305,86,969,186.966950,1,282.836250,21.000000,325.000000,728.000000,737.000000,932.000000,969.000000
1554824315,91,969,166.937830,1,266.068765,20.000000,319.000000,725.000000,731.000000,932.000000,969.000000
1554824325,95,969,205.113104,1,287.790789,24.000000,320.000000,737.000000,916.000000,932.000000,969.000000
1554824335,100,969,190.927057,1,282.601314,20.000000,320.000000,731.000000,916.000000,932.000000,969.000000
1554824345,105,969,161.581718,1,267.052793,18.000000,216.000000,728.000000,916.000000,916.000000,969.000000
1554824355,109,969,163.069250,1,260.723091,18.000000,216.000000,725.000000,916.000000,916.000000,969.000000
1554824365,110,969,157.830416,1,257.649368,17.000000,216.000000,725.000000,916.000000,916.000000,969.000000
1554824375,112,969,162.242579,1,254.676515,17.000000,216.000000,721.000000,916.000000,916.000000,969.000000
1554824385,115,969,202.830166,1,287.770451,19.000000,427.000000,916.000000,949.000000,949.000000,969.000000
1554824395,117,969,247.011897,1,316.638209,27.000000,493.000000,926.000000,949.000000,949.000000,969.000000
1554824405,118,969,258.420024,1,312.484382,40.000000,493.000000,926.000000,949.000000,949.000000,969.000000
1554824415,119,969,276.679196,1,312.923637,126.000000,530.000000,926.000000,949.000000,949.000000,969.000000
1554824425,119,969,276.679196,1,312.923637,126.000000,530.000000,926.000000,949.000000,949.000000,969.000000
