t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848322,46,33,2.917501,0,7.115820,0.000000,0.000000,16.000000,33.000000,33.000000,33.000000
1554848332,251,57,4.592509,0,8.407478,0.000000,11.000000,22.000000,31.000000,39.000000,57.000000
1554848342,370,73,5.652341,0,10.331237,0.000000,11.000000,22.000000,39.000000,57.000000,73.000000
1554848352,489,134,6.451623,0,15.140451,0.000000,11.000000,22.000000,47.000000,73.000000,134.000000
1554848362,638,200,7.565540,0,18.986701,0.000000,11.000000,31.000000,57.000000,122.000000,200.000000
1554848372,763,200,7.369405,0,17.744010,0.000000,11.000000,25.000000,56.000000,111.000000,200.000000
1554848382,893,234,9.013216,0,21.172425,0.000000,11.000000,40.000000,73.000000,122.000000,234.000000
1554848392,989,234,10.193716,0,23.184016,0.000000,11.000000,41.000000,73.000000,126.000000,234.000000
1554848402,1130,234,11.610782,0,23.945178,0.000000,11.000000,43.000000,100.000000,126.000000,234.000000
1554848412,1250,241,12.328739,0,25.164987,0.000000,11.000000,44.000000,101.000000,128.000000,241.000000
1554848422,1403,241,12.774314,0,23.475438,11.000000,11.000000,44.000000,89.000000,122.000000,241.000000
1554848432,1554,241,12.989344,0,24.089815,11.000000,11.000000,44.000000,93.000000,128.000000,241.000000
1554848442,1737,241,12.153051,0,21.633800,11.000000,11.000000,43.000000,73.000000,122.000000,211.000000
1554848452,1905,241,11.165638,0,19.344598,11.000000,11.000000,40.000000,56.000000,93.000000,211.000000
1554848462,2019,241,10.622759,0,18.780655,11.000000,11.000000,35.000000,56.000000,86.000000,211.000000
1554848472,2175,241,10.811151,0,20.366296,11.000000,11.000000,35.000000,60.000000,101.000000,212.000000
1554848482,2306,241,12.139902,0,21.969377,11.000000,11.000000,44.000000,99.000000,111.000000,212.000000
1554848492,2427,241,11.833755,0,20.571202,11.000000,11.000000,40.000000,75.000000,111.000000,212.000000
1554848502,2569,241,11.458249,0,19.019178,11.000000,11.000000,40.000000,65.000000,100.000000,212.000000
1554848512,2739,241,11.589201,0,18.883127,11.000000,11.000000,40.000000,60.000000,100.000000,212.000000
1554848522,2872,241,10.850115,0,17.012190,11.000000,11.000000,36.000000,60.000000,81.000000,170.000000
