t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848332,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848342,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848352,1,71,71.000000,71,0.000000,71.000000,71.000000,71.000000,71.000000,71.000000,71.000000
1554848362,2,878,525.669277,71,400.242370,878.000000,878.000000,878.000000,878.000000,878.000000,878.000000
1554848372,2,878,525.669277,71,400.242370,878.000000,878.000000,878.000000,878.000000,878.000000,878.000000
1554848382,3,878,375.638525,71,354.720278,163.000000,878.000000,878.000000,878.000000,878.000000,878.000000
1554848392,4,878,469.163625,71,319.077698,658.000000,658.000000,878.000000,878.000000,878.000000,878.000000
1554848402,4,878,469.163625,71,319.077698,658.000000,658.000000,878.000000,878.000000,878.000000,878.000000
1554848412,4,878,469.163625,71,319.077698,658.000000,658.000000,878.000000,878.000000,878.000000,878.000000
1554848422,4,878,469.163625,71,319.077698,658.000000,658.000000,878.000000,878.000000,878.000000,878.000000
1554848432,5,878,421.060820,71,256.238284,346.000000,658.000000,878.000000,878.000000,878.000000,878.000000
1554848442,5,878,421.060820,71,256.238284,346.000000,658.000000,878.000000,878.000000,878.000000,878.000000
1554848452,6,878,561.500324,71,286.332252,658.000000,836.000000,878.000000,878.000000,878.000000,878.000000
1554848462,6,878,561.500324,71,286.332252,658.000000,836.000000,878.000000,878.000000,878.000000,878.000000
1554848472,6,878,561.500324,71,286.332252,658.000000,836.000000,878.000000,878.000000,878.000000,878.000000
1554848482,6,878,561.500324,71,286.332252,658.000000,836.000000,878.000000,878.000000,878.000000,878.000000
1554848492,6,878,561.500324,71,286.332252,658.000000,836.000000,878.000000,878.000000,878.000000,878.000000
1554848502,6,878,561.500324,71,286.332252,658.000000,836.000000,878.000000,878.000000,878.000000,878.000000
1554848512,6,878,561.500324,71,286.332252,658.000000,836.000000,878.000000,878.000000,878.000000,878.000000
1554848522,6,878,561.500324,71,286.332252,658.000000,836.000000,878.000000,878.000000,878.000000,878.000000
