t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848314,74,31,2.250120,0,5.867898,0.000000,0.000000,16.000000,22.000000,31.000000,31.000000
1554848324,239,44,2.837458,0,6.585442,0.000000,0.000000,16.000000,31.000000,31.000000,44.000000
1554848334,349,134,5.423820,0,14.369773,0.000000,11.000000,22.000000,42.000000,44.000000,134.000000
1554848344,493,313,7.500884,0,22.781912,0.000000,11.000000,31.000000,74.000000,122.000000,313.000000
1554848354,659,313,7.758559,0,22.048923,0.000000,11.000000,31.000000,74.000000,122.000000,313.000000
1554848364,750,313,7.840979,0,21.188859,0.000000,11.000000,31.000000,44.000000,126.000000,313.000000
1554848374,882,313,7.965066,0,20.203750,0.000000,11.000000,31.000000,44.000000,122.000000,313.000000
1554848384,1003,313,8.031912,0,19.120609,0.000000,11.000000,31.000000,44.000000,113.000000,146.000000
1554848394,1172,313,8.647173,0,18.682537,0.000000,11.000000,33.000000,56.000000,111.000000,146.000000
1554848404,1323,146,9.132755,0,17.131278,0.000000,11.000000,33.000000,45.000000,113.000000,134.000000
1554848414,1461,146,9.807338,0,16.223647,11.000000,11.000000,33.000000,44.000000,111.000000,134.000000
1554848424,1631,208,10.501480,0,16.960461,11.000000,11.000000,33.000000,44.000000,111.000000,208.000000
1554848434,1811,208,10.850304,0,16.804048,11.000000,11.000000,33.000000,45.000000,102.000000,208.000000
1554848444,1936,208,10.805872,0,15.547716,11.000000,11.000000,33.000000,44.000000,56.000000,208.000000
1554848454,2071,208,10.920756,0,14.996985,11.000000,11.000000,33.000000,45.000000,57.000000,208.000000
1554848464,2187,208,12.090121,0,18.803510,11.000000,11.000000,40.000000,71.000000,111.000000,146.000000
1554848474,2333,208,11.623071,0,18.503425,11.000000,11.000000,38.000000,65.000000,111.000000,146.000000
1554848484,2460,228,11.285091,0,19.356227,11.000000,11.000000,40.000000,60.000000,94.000000,228.000000
1554848494,2614,228,11.324328,0,18.278261,11.000000,11.000000,39.000000,56.000000,75.000000,228.000000
1554848504,2805,228,10.882010,0,17.117461,11.000000,11.000000,35.000000,56.000000,67.000000,228.000000
1554848514,2901,228,11.040843,0,16.881925,11.000000,11.000000,35.000000,56.000000,71.000000,228.000000
1554848524,3062,228,11.708462,0,18.608732,11.000000,11.000000,42.000000,65.000000,96.000000,208.000000
