t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848325,3,20,19.333233,19,0.471369,19.000000,20.000000,20.000000,20.000000,20.000000,20.000000
1554848335,6,201,53.017967,14,67.351901,20.000000,42.000000,201.000000,201.000000,201.000000,201.000000
1554848345,11,825,229.156278,13,309.056212,28.000000,413.000000,825.000000,825.000000,825.000000,825.000000
1554848355,16,825,177.250212,8,270.660499,27.000000,393.000000,825.000000,825.000000,825.000000,825.000000
1554848365,21,825,196.226893,7,286.493163,20.000000,358.000000,810.000000,825.000000,825.000000,825.000000
1554848375,25,825,204.174682,7,284.164925,24.000000,358.000000,810.000000,825.000000,825.000000,825.000000
1554848385,30,825,161.788959,7,258.876423,24.000000,186.000000,810.000000,825.000000,825.000000,825.000000
1554848395,35,980,172.875062,7,290.942577,24.000000,186.000000,825.000000,980.000000,980.000000,980.000000
1554848405,38,980,152.257078,7,276.550719,19.000000,56.000000,825.000000,980.000000,980.000000,980.000000
1554848415,43,980,138.318844,7,258.228155,18.000000,49.000000,810.000000,980.000000,980.000000,980.000000
1554848425,46,980,172.085064,7,281.666655,19.000000,358.000000,810.000000,980.000000,980.000000,980.000000
1554848435,51,980,160.449590,3,260.991274,19.000000,186.000000,799.000000,980.000000,980.000000,980.000000
1554848445,55,980,173.947334,3,258.874700,21.000000,361.000000,799.000000,825.000000,980.000000,980.000000
1554848455,57,980,182.164775,3,260.915591,21.000000,372.000000,799.000000,825.000000,980.000000,980.000000
1554848465,62,980,154.760854,3,242.378257,20.000000,186.000000,795.000000,810.000000,980.000000,980.000000
1554848475,65,980,195.910025,3,286.435874,25.000000,372.000000,825.000000,976.000000,980.000000,980.000000
1554848485,71,980,222.786559,3,331.672497,21.000000,374.000000,956.000000,976.000000,976.000000,980.000000
1554848495,76,980,203.701829,3,317.608736,19.000000,372.000000,956.000000,976.000000,976.000000,980.000000
1554848505,81,980,190.452083,3,304.286317,17.000000,372.000000,956.000000,976.000000,976.000000,980.000000
1554848515,85,980,230.754854,3,347.868018,17.000000,538.000000,974.000000,976.000000,976.000000,980.000000
1554848525,88,980,265.795617,3,361.106138,24.000000,540.000000,976.000000,978.000000,978.000000,980.000000
