t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848334,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848344,1,853,853.000000,853,0.000000,853.000000,853.000000,853.000000,853.000000,853.000000,853.000000
1554848354,2,853,623.894466,449,200.173150,449.000000,853.000000,853.000000,853.000000,853.000000,853.000000
1554848364,3,853,546.116699,415,188.011271,449.000000,853.000000,853.000000,853.000000,853.000000,853.000000
1554848374,4,853,484.444260,344,182.274163,415.000000,449.000000,853.000000,853.000000,853.000000,853.000000
1554848384,4,853,484.444260,344,182.274163,415.000000,449.000000,853.000000,853.000000,853.000000,853.000000
1554848394,5,853,582.918597,344,216.967583,449.000000,822.000000,853.000000,853.000000,853.000000,853.000000
1554848404,6,936,674.315047,344,242.500483,822.000000,936.000000,936.000000,936.000000,936.000000,936.000000
1554848414,6,936,674.315047,344,242.500483,822.000000,936.000000,936.000000,936.000000,936.000000,936.000000
1554848424,6,936,674.315047,344,242.500483,822.000000,936.000000,936.000000,936.000000,936.000000,936.000000
1554848434,6,936,674.315047,344,242.500483,822.000000,936.000000,936.000000,936.000000,936.000000,936.000000
1554848444,6,936,674.315047,344,242.500483,822.000000,936.000000,936.000000,936.000000,936.000000,936.000000
1554848454,6,936,674.315047,344,242.500483,822.000000,936.000000,936.000000,936.000000,936.000000,936.000000
1554848464,6,936,674.315047,344,242.500483,822.000000,936.000000,936.000000,936.000000,936.000000,936.000000
1554848474,6,936,674.315047,344,242.500483,822.000000,936.000000,936.000000,936.000000,936.000000,936.000000
1554848484,7,936,659.258501,344,177.951228,642.000000,822.000000,936.000000,936.000000,936.000000,936.000000
1554848494,7,936,659.258501,344,177.951228,642.000000,822.000000,936.000000,936.000000,936.000000,936.000000
1554848504,7,936,659.258501,344,177.951228,642.000000,822.000000,936.000000,936.000000,936.000000,936.000000
1554848514,7,936,659.258501,344,177.951228,642.000000,822.000000,936.000000,936.000000,936.000000,936.000000
1554848524,7,936,659.258501,344,177.951228,642.000000,822.000000,936.000000,936.000000,936.000000,936.000000
