t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848325,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848335,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848345,1,798,798.000000,798,0.000000,798.000000,798.000000,798.000000,798.000000,798.000000,798.000000
1554848355,1,798,798.000000,798,0.000000,798.000000,798.000000,798.000000,798.000000,798.000000,798.000000
1554848365,2,798,438.984656,169,311.333638,169.000000,798.000000,798.000000,798.000000,798.000000,798.000000
1554848375,2,798,438.984656,169,311.333638,169.000000,798.000000,798.000000,798.000000,798.000000,798.000000
1554848385,3,798,530.971729,169,258.414383,654.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848395,3,798,530.971729,169,258.414383,654.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848405,3,798,530.971729,169,258.414383,654.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848415,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848425,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848435,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848445,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848455,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848465,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848475,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848485,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848495,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848505,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
1554848515,4,798,413.666911,169,243.688413,244.000000,654.000000,798.000000,798.000000,798.000000,798.000000
