t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848319,1,65,65.000000,65,0.000000,65.000000,65.000000,65.000000,65.000000,65.000000,65.000000
1554848329,5,633,320.946086,41,262.539162,233.000000,633.000000,633.000000,633.000000,633.000000,633.000000
1554848339,10,633,181.054489,13,228.532530,41.000000,233.000000,633.000000,633.000000,633.000000,633.000000
1554848349,14,645,195.520198,11,240.467295,41.000000,233.000000,645.000000,645.000000,645.000000,645.000000
1554848359,18,645,161.933281,10,216.269617,41.000000,219.000000,645.000000,645.000000,645.000000,645.000000
1554848369,23,645,122.018898,10,192.904471,20.000000,191.000000,633.000000,645.000000,645.000000,645.000000
1554848379,28,816,136.433859,10,233.820652,19.000000,191.000000,816.000000,816.000000,816.000000,816.000000
1554848389,32,816,114.750241,10,215.414128,18.000000,45.000000,645.000000,816.000000,816.000000,816.000000
1554848399,36,816,133.433912,10,225.243594,18.000000,191.000000,645.000000,816.000000,816.000000,816.000000
1554848409,39,816,130.203224,10,213.409475,19.000000,213.000000,633.000000,816.000000,816.000000,816.000000
1554848419,44,816,144.068585,10,224.710855,27.000000,209.000000,707.000000,816.000000,816.000000,816.000000
1554848429,48,816,140.566717,10,216.293309,41.000000,209.000000,707.000000,707.000000,816.000000,816.000000
1554848439,50,816,154.410004,10,213.900764,41.000000,213.000000,645.000000,707.000000,816.000000,816.000000
1554848449,55,816,129.643948,4,197.409037,40.000000,185.000000,633.000000,707.000000,816.000000,816.000000
1554848459,59,822,160.566228,4,233.236452,41.000000,213.000000,816.000000,822.000000,822.000000,822.000000
1554848469,63,822,167.987242,4,251.128665,41.000000,213.000000,793.000000,822.000000,822.000000,822.000000
1554848479,69,822,176.845137,4,256.740336,41.000000,233.000000,793.000000,822.000000,822.000000,822.000000
1554848489,74,822,150.052734,4,241.011654,35.000000,185.000000,793.000000,822.000000,822.000000,822.000000
1554848499,78,829,173.182184,4,262.450468,35.000000,228.000000,822.000000,829.000000,829.000000,829.000000
1554848509,81,829,210.096739,4,295.291047,37.000000,399.000000,816.000000,829.000000,829.000000,829.000000
1554848519,86,829,187.815892,2,279.699424,27.000000,381.000000,795.000000,829.000000,829.000000,829.000000
