t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848320,63,25,2.294283,0,5.649667,0.000000,0.000000,16.000000,22.000000,25.000000,25.000000
1554848330,236,57,4.029786,0,8.589655,0.000000,0.000000,22.000000,33.000000,39.000000,57.000000
1554848340,353,57,4.728664,0,9.089614,0.000000,11.000000,22.000000,33.000000,44.000000,57.000000
1554848350,464,159,6.990090,0,16.422351,0.000000,11.000000,33.000000,47.000000,104.000000,159.000000
1554848360,610,200,8.123278,0,19.951441,0.000000,11.000000,33.000000,67.000000,128.000000,200.000000
1554848370,759,200,7.507069,0,17.882188,0.000000,11.000000,31.000000,57.000000,104.000000,200.000000
1554848380,870,241,8.793664,0,20.748333,0.000000,11.000000,39.000000,67.000000,111.000000,241.000000
1554848390,977,241,10.173519,0,24.400325,0.000000,11.000000,40.000000,79.000000,133.000000,241.000000
1554848400,1125,241,11.498102,0,24.012389,0.000000,11.000000,44.000000,89.000000,128.000000,241.000000
1554848410,1220,272,12.592058,0,26.287021,0.000000,11.000000,47.000000,93.000000,133.000000,272.000000
1554848420,1399,272,12.543216,0,24.844628,11.000000,11.000000,44.000000,78.000000,128.000000,272.000000
1554848430,1545,272,12.532140,0,23.895107,11.000000,11.000000,44.000000,71.000000,111.000000,272.000000
1554848440,1713,272,12.407057,0,22.209464,11.000000,11.000000,44.000000,63.000000,111.000000,241.000000
1554848450,1894,241,11.172060,0,19.097315,11.000000,11.000000,40.000000,60.000000,85.000000,210.000000
1554848460,2016,241,10.451000,0,16.496984,11.000000,11.000000,37.000000,56.000000,67.000000,208.000000
1554848470,2193,241,9.552888,0,14.510613,11.000000,11.000000,33.000000,56.000000,63.000000,156.000000
1554848480,2307,301,12.137651,0,22.451732,11.000000,11.000000,44.000000,93.000000,111.000000,301.000000
1554848490,2407,301,12.765142,0,23.720223,11.000000,11.000000,46.000000,93.000000,111.000000,301.000000
1554848500,2558,301,11.971074,0,22.268422,11.000000,11.000000,40.000000,63.000000,99.000000,301.000000
1554848510,2719,301,11.943277,0,23.404903,11.000000,11.000000,40.000000,60.000000,99.000000,301.000000
1554848520,2882,301,11.541039,0,23.512674,11.000000,11.000000,40.000000,60.000000,93.000000,244.000000
