t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848330,66,79,7.045123,0,13.025827,0.000000,11.000000,33.000000,47.000000,79.000000,79.000000
1554848340,183,104,7.488021,0,13.802608,0.000000,11.000000,33.000000,47.000000,79.000000,104.000000
1554848350,308,126,8.292751,0,18.776479,0.000000,11.000000,33.000000,104.000000,114.000000,126.000000
1554848360,458,211,8.592334,0,21.886803,0.000000,11.000000,33.000000,104.000000,122.000000,211.000000
1554848370,586,211,8.466423,0,19.931756,0.000000,11.000000,35.000000,71.000000,114.000000,211.000000
1554848380,719,211,9.280558,0,20.768238,0.000000,11.000000,44.000000,100.000000,122.000000,211.000000
1554848390,842,211,9.594297,0,20.162690,0.000000,11.000000,44.000000,90.000000,114.000000,211.000000
1554848400,1006,211,9.095692,0,18.850419,0.000000,11.000000,35.000000,69.000000,105.000000,134.000000
1554848410,1125,211,9.047483,0,18.148407,0.000000,11.000000,33.000000,67.000000,105.000000,134.000000
1554848420,1295,134,9.184825,0,16.033872,0.000000,11.000000,35.000000,56.000000,100.000000,131.000000
1554848430,1429,134,9.814789,0,15.524641,11.000000,11.000000,35.000000,56.000000,71.000000,131.000000
1554848440,1611,134,9.671860,0,14.254210,11.000000,11.000000,33.000000,50.000000,69.000000,131.000000
1554848450,1753,134,9.981712,0,13.309127,11.000000,11.000000,33.000000,47.000000,56.000000,126.000000
1554848460,1875,134,9.897913,0,13.350028,11.000000,11.000000,33.000000,47.000000,56.000000,126.000000
1554848470,2014,162,10.471548,0,16.698491,11.000000,11.000000,35.000000,56.000000,104.000000,162.000000
1554848480,2147,162,11.259244,0,18.244415,11.000000,11.000000,39.000000,56.000000,111.000000,162.000000
1554848490,2267,184,11.366807,0,19.002618,11.000000,11.000000,40.000000,56.000000,111.000000,184.000000
1554848500,2410,184,10.804072,0,17.168977,11.000000,11.000000,35.000000,56.000000,111.000000,184.000000
1554848510,2571,184,10.719789,0,16.238641,11.000000,11.000000,35.000000,56.000000,78.000000,184.000000
1554848520,2702,184,11.177264,0,15.848235,11.000000,11.000000,35.000000,50.000000,78.000000,184.000000
1554848530,2817,128,11.260721,0,16.466621,11.000000,11.000000,35.000000,56.000000,101.000000,128.000000
