t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848339,76,454,50.077458,6,68.185371,34.000000,37.000000,116.000000,425.000000,454.000000,454.000000
1554848349,260,755,52.243180,1,83.007536,34.000000,44.000000,93.000000,404.000000,496.000000,755.000000
1554848359,370,916,59.481016,1,107.714060,34.000000,43.000000,200.000000,496.000000,548.000000,916.000000
1554848369,511,916,58.525428,1,105.383346,34.000000,47.000000,130.000000,496.000000,558.000000,916.000000
1554848379,640,916,61.672037,1,111.681544,34.000000,49.000000,293.000000,500.000000,633.000000,916.000000
1554848389,783,916,61.645631,0,115.700628,34.000000,49.000000,251.000000,502.000000,633.000000,916.000000
1554848399,902,916,61.036700,0,113.957669,34.000000,50.000000,200.000000,502.000000,716.000000,899.000000
1554848409,1015,960,61.555852,0,115.529327,34.000000,50.000000,251.000000,516.000000,716.000000,960.000000
1554848419,1173,960,61.220148,0,114.763860,34.000000,50.000000,164.000000,529.000000,755.000000,960.000000
1554848429,1313,960,59.660315,0,107.306970,35.000000,50.000000,133.000000,500.000000,550.000000,960.000000
1554848439,1475,960,59.453734,0,109.439278,36.000000,50.000000,109.000000,533.000000,755.000000,898.000000
1554848449,1617,987,58.462247,0,104.461723,38.000000,51.000000,101.000000,483.000000,633.000000,987.000000
1554848459,1805,987,55.750916,0,97.483064,37.000000,51.000000,84.000000,469.000000,534.000000,987.000000
1554848469,1956,987,56.091414,0,96.121247,37.000000,51.000000,92.000000,424.000000,536.000000,987.000000
1554848479,2092,836,56.160873,0,96.993246,38.000000,51.000000,95.000000,439.000000,537.000000,831.000000
1554848489,2215,836,60.231821,0,107.079220,41.000000,51.000000,105.000000,533.000000,683.000000,831.000000
1554848499,2365,836,55.564690,0,94.918954,39.000000,51.000000,90.000000,436.000000,566.000000,831.000000
1554848509,2487,836,57.184738,0,98.169902,39.000000,51.000000,102.000000,499.000000,566.000000,834.000000
1554848519,2634,836,57.372233,0,99.167932,41.000000,51.000000,99.000000,499.000000,579.000000,831.000000
