t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848327,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848337,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848347,2,198,184.318126,172,12.982105,172.000000,198.000000,198.000000,198.000000,198.000000,198.000000
1554848357,3,198,123.490748,24,78.462420,172.000000,198.000000,198.000000,198.000000,198.000000,198.000000
1554848367,3,198,123.490748,24,78.462420,172.000000,198.000000,198.000000,198.000000,198.000000,198.000000
1554848377,3,198,123.490748,24,78.462420,172.000000,198.000000,198.000000,198.000000,198.000000,198.000000
1554848387,3,198,123.490748,24,78.462420,172.000000,198.000000,198.000000,198.000000,198.000000,198.000000
1554848397,4,862,401.593325,24,363.150546,198.000000,862.000000,862.000000,862.000000,862.000000,862.000000
1554848407,4,862,401.593325,24,363.150546,198.000000,862.000000,862.000000,862.000000,862.000000,862.000000
1554848417,5,862,303.094800,24,319.668391,126.000000,198.000000,862.000000,862.000000,862.000000,862.000000
1554848427,5,862,303.094800,24,319.668391,126.000000,198.000000,862.000000,862.000000,862.000000,862.000000
1554848437,5,862,303.094800,24,319.668391,126.000000,198.000000,862.000000,862.000000,862.000000,862.000000
1554848447,5,862,303.094800,24,319.668391,126.000000,198.000000,862.000000,862.000000,862.000000,862.000000
1554848457,6,868,517.847087,24,372.205118,862.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554848467,6,868,517.847087,24,372.205118,862.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554848477,6,868,517.847087,24,372.205118,862.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554848487,6,868,517.847087,24,372.205118,862.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554848497,6,868,517.847087,24,372.205118,862.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554848507,6,868,517.847087,24,372.205118,862.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554848517,6,868,517.847087,24,372.205118,862.000000,868.000000,868.000000,868.000000,868.000000,868.000000
