t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848317,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848327,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848337,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848347,1,52,52.000000,52,0.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000
1554848357,1,52,52.000000,52,0.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000
1554848367,1,52,52.000000,52,0.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000
1554848377,1,52,52.000000,52,0.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000
1554848387,1,52,52.000000,52,0.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000
1554848397,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848407,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848417,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848427,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848437,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848447,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848457,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848467,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848477,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848487,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848497,2,402,295.353834,52,161.098583,402.000000,402.000000,402.000000,402.000000,402.000000,402.000000
1554848507,3,606,539.553200,52,147.572103,606.000000,606.000000,606.000000,606.000000,606.000000,606.000000
1554848517,3,606,539.553200,52,147.572103,606.000000,606.000000,606.000000,606.000000,606.000000,606.000000
