t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848328,4,26,18.903894,6,7.731966,21.000000,23.000000,26.000000,26.000000,26.000000,26.000000
1554848338,7,599,119.077177,6,211.490493,24.000000,55.000000,599.000000,599.000000,599.000000,599.000000
1554848348,12,642,154.189867,6,222.768887,26.000000,216.000000,642.000000,642.000000,642.000000,642.000000
1554848358,17,642,118.369802,6,191.451374,21.000000,123.000000,642.000000,642.000000,642.000000,642.000000
1554848368,21,642,136.307075,6,205.584339,21.000000,176.000000,599.000000,642.000000,642.000000,642.000000
1554848378,25,642,120.481609,6,189.557970,18.000000,176.000000,599.000000,642.000000,642.000000,642.000000
1554848388,30,642,92.324384,4,172.144775,12.000000,55.000000,592.000000,642.000000,642.000000,642.000000
1554848398,35,803,107.220641,2,213.604284,12.000000,55.000000,642.000000,803.000000,803.000000,803.000000
1554848408,38,803,104.128098,2,202.972825,11.000000,55.000000,642.000000,803.000000,803.000000,803.000000
1554848418,43,803,110.844504,2,209.867441,15.000000,55.000000,603.000000,803.000000,803.000000,803.000000
1554848428,46,803,139.168678,2,221.327651,19.000000,198.000000,613.000000,803.000000,803.000000,803.000000
1554848438,51,962,157.621583,2,261.348625,21.000000,198.000000,803.000000,962.000000,962.000000,962.000000
1554848448,54,962,169.013501,2,250.403597,25.000000,198.000000,803.000000,962.000000,962.000000,962.000000
1554848458,57,962,162.565177,2,241.988609,22.000000,198.000000,642.000000,962.000000,962.000000,962.000000
1554848468,62,962,162.964855,2,256.209413,20.000000,198.000000,755.000000,962.000000,962.000000,962.000000
1554848478,65,962,157.865420,2,247.242579,18.000000,198.000000,755.000000,962.000000,962.000000,962.000000
1554848488,70,962,131.994783,2,229.908977,17.000000,181.000000,755.000000,803.000000,962.000000,962.000000
1554848498,75,962,112.323723,2,213.015475,17.000000,55.000000,642.000000,803.000000,962.000000,962.000000
1554848508,80,962,114.875065,2,215.602266,17.000000,36.000000,613.000000,755.000000,962.000000,962.000000
1554848518,84,962,102.682876,2,202.983928,17.000000,36.000000,603.000000,755.000000,962.000000,962.000000
1554848528,88,962,127.243630,2,229.067233,17.000000,41.000000,755.000000,758.000000,803.000000,962.000000
