t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552484174,160,318,29.641679,11,24.918053,33.000000,33.000000,50.000000,66.000000,67.000000,318.000000
1552484184,260,318,29.784104,11,20.181976,33.000000,33.000000,50.000000,51.000000,67.000000,318.000000
1552484194,459,318,25.482985,11,16.586870,17.000000,33.000000,50.000000,50.000000,66.000000,318.000000
1552484204,723,318,23.915543,10,14.656886,17.000000,33.000000,50.000000,50.000000,66.000000,67.000000
1552484214,902,318,23.854491,10,14.066798,17.000000,33.000000,50.000000,50.000000,66.000000,67.000000
1552484224,1050,318,23.895323,10,13.815755,17.000000,33.000000,50.000000,51.000000,66.000000,67.000000
1552484234,1116,318,24.685490,10,14.285308,17.000000,33.000000,50.000000,66.000000,66.000000,83.000000
1552484244,1213,318,24.357811,10,13.946523,17.000000,33.000000,50.000000,66.000000,66.000000,83.000000
1552484254,1388,83,23.521822,16,12.093396,17.000000,33.000000,50.000000,66.000000,67.000000,83.000000
1552484264,1627,83,22.785688,15,11.932317,17.000000,33.000000,50.000000,66.000000,67.000000,83.000000
