t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552429953,459,67,19.020820,0,10.186359,17.000000,17.000000,42.000000,50.000000,50.000000,67.000000
1552429963,1520,67,11.394196,0,11.974069,16.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552429973,2032,67,13.867441,0,11.691333,16.000000,17.000000,34.000000,50.000000,50.000000,58.000000
1552429983,2550,67,15.557048,0,11.088863,17.000000,17.000000,34.000000,50.000000,50.000000,58.000000
1552429993,3074,67,16.688902,0,10.494454,17.000000,17.000000,34.000000,50.000000,50.000000,66.000000
1552430003,3606,67,16.963184,0,9.459204,17.000000,17.000000,34.000000,50.000000,50.000000,67.000000
1552430013,4131,67,17.533917,0,9.415969,17.000000,17.000000,34.000000,50.000000,50.000000,67.000000
1552430023,4657,67,17.756269,0,8.868153,17.000000,17.000000,34.000000,50.000000,50.000000,67.000000
1552430033,5193,67,18.023140,0,8.518122,17.000000,17.000000,34.000000,50.000000,50.000000,67.000000
1552430043,5723,67,17.989513,0,8.092469,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430053,6226,67,18.434677,0,8.053312,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430063,6747,67,18.673090,0,8.231577,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430073,7272,67,18.725583,0,7.999075,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430083,7792,67,18.732649,0,7.853631,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430093,8321,67,18.585040,0,7.281760,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430103,8826,67,19.090840,0,7.977985,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430113,9349,67,19.060823,0,8.001967,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430123,9878,71,19.072714,0,8.080529,17.000000,17.000000,34.000000,50.000000,50.000000,71.000000
1552430133,10394,71,19.074142,0,8.122918,17.000000,17.000000,34.000000,50.000000,51.000000,71.000000
1552430143,10925,67,18.696544,0,7.802241,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430153,11437,67,18.722216,0,7.931852,17.000000,17.000000,34.000000,50.000000,50.000000,51.000000
1552430163,11962,51,18.961936,0,8.201988,17.000000,17.000000,46.000000,50.000000,50.000000,51.000000
1552430173,12483,52,19.067492,0,8.454924,17.000000,17.000000,49.000000,50.000000,50.000000,52.000000
1552430183,12971,72,19.375182,0,8.949845,17.000000,17.000000,49.000000,50.000000,51.000000,72.000000
1552430193,13419,117,20.165785,0,11.624490,17.000000,17.000000,49.000000,51.000000,62.000000,117.000000
1552430203,13721,165,22.031612,0,16.567847,17.000000,19.000000,51.000000,71.000000,91.000000,165.000000
1552430213,14024,165,24.281172,0,19.144390,17.000000,25.000000,57.000000,84.000000,107.000000,165.000000
1552430223,14392,165,24.562705,0,17.373644,17.000000,29.000000,56.000000,75.000000,89.000000,165.000000
1552430233,14746,165,25.761936,0,17.566037,17.000000,33.000000,58.000000,77.000000,89.000000,165.000000
1552430243,15172,165,25.128620,0,16.658635,17.000000,32.000000,56.000000,73.000000,86.000000,165.000000
1552430253,15656,165,23.892737,0,15.504661,17.000000,30.000000,51.000000,71.000000,78.000000,145.000000
1552430263,16178,165,22.472482,0,13.997560,17.000000,27.000000,48.000000,57.000000,73.000000,145.000000
1552430273,16696,165,21.675545,0,12.980045,17.000000,25.000000,47.000000,55.000000,71.000000,109.000000
1552430283,17201,165,21.516217,0,12.688293,17.000000,25.000000,47.000000,52.000000,62.000000,109.000000
1552430293,17720,165,21.100377,0,12.606404,17.000000,25.000000,46.000000,51.000000,63.000000,91.000000
1552430303,18177,165,20.995863,0,12.291814,17.000000,25.000000,45.000000,51.000000,63.000000,91.000000
