t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552425187,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552425217,15,18,3.550286,0,5.822427,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425247,32,18,2.731621,0,4.998529,1.000000,1.000000,18.000000,18.000000,18.000000,18.000000
1552425277,44,18,2.205485,0,3.989236,1.000000,1.000000,18.000000,18.000000,18.000000,18.000000
1552425307,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425337,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425367,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425397,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425427,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425457,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425487,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425517,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425547,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425577,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425607,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425637,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425667,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425697,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425727,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425757,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425787,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425817,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425847,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425877,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425907,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425937,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425967,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552425997,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426027,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426057,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426087,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426117,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426147,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426177,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426207,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426237,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426267,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426297,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426327,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426357,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426387,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426417,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426447,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426477,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426507,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426537,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426567,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
1552426597,50,18,2.877773,0,4.782905,1.000000,2.000000,18.000000,18.000000,18.000000,18.000000
