t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552425188,8,812,335.855371,35,308.930282,198.000000,533.000000,812.000000,812.000000,812.000000,812.000000
1552425218,32,988,542.335060,35,265.678068,534.000000,782.000000,975.000000,988.000000,988.000000,988.000000
1552425248,48,988,530.755566,11,253.406933,517.000000,699.000000,975.000000,988.000000,988.000000,988.000000
1552425278,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425308,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425338,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425368,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425398,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425428,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425458,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425488,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425518,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425548,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425578,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425608,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425638,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425668,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425698,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425728,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425758,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425788,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425818,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425848,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425878,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425908,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425938,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425968,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552425998,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426028,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426058,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426088,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426118,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426148,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426178,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426208,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426238,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426268,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426298,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426328,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426358,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426388,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426418,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426448,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426478,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426508,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426538,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426568,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
1552426598,64,988,538.279004,11,244.037233,517.000000,699.000000,983.000000,983.000000,988.000000,988.000000
