t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1552425163,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552425193,689,21.751597,0.239264,0.074398,1.019434,0.147629,0.205583,0.314883,0.426402,0.645550,21.751597,11.531684,6.891665,1.464074,0.493027,calls/second,milliseconds
1552425223,2153,6.227854,0.130166,0.056499,0.258007,0.105804,0.127642,0.211951,0.275618,0.333729,5.602646,23.991577,23.520197,6.003462,2.088729,calls/second,milliseconds
1552425253,3612,6.227854,0.103579,0.055389,0.147463,0.093183,0.107188,0.158566,0.203064,0.253744,0.492467,30.161459,33.364055,10.040586,3.607285,calls/second,milliseconds
1552425283,5122,0.379231,0.092341,0.042343,0.025460,0.087717,0.100638,0.132635,0.154006,0.169810,0.346807,34.206442,40.357913,13.933403,5.158244,calls/second,milliseconds
1552425313,6535,0.340617,0.080786,0.042343,0.021508,0.076600,0.088636,0.116039,0.137038,0.155824,0.297841,36.359052,42.807891,17.046931,6.518887,calls/second,milliseconds
1552425343,8017,0.340617,0.075189,0.036703,0.016576,0.070954,0.081544,0.103334,0.117439,0.130646,0.203064,38.224031,45.373988,20.109226,7.918432,calls/second,milliseconds
1552425373,9275,0.340617,0.072009,0.036703,0.014812,0.068209,0.077538,0.094883,0.110896,0.124633,0.169810,38.688220,44.446889,22.300137,9.073619,calls/second,milliseconds
1552425403,10774,0.340617,0.074138,0.036703,0.015651,0.069723,0.080442,0.096275,0.111286,0.132053,0.231597,39.943172,45.890786,24.743246,10.348032,calls/second,milliseconds
1552425433,12206,0.340617,0.073566,0.036703,0.012899,0.069657,0.080636,0.093827,0.103818,0.111286,0.214677,40.721979,47.074706,27.074837,11.625147,calls/second,milliseconds
1552425463,13621,0.340617,0.073197,0.041753,0.016396,0.068809,0.080004,0.098318,0.112228,0.123024,0.270913,41.308853,46.882298,28.907051,12.761501,calls/second,milliseconds
1552425493,15147,0.160747,0.073998,0.040204,0.013981,0.069759,0.080903,0.098136,0.111558,0.126118,0.160747,42.106238,48.454903,30.999604,14.011790,calls/second,milliseconds
1552425523,16642,0.230581,0.073266,0.040204,0.014025,0.069577,0.080242,0.093904,0.106727,0.120505,0.230581,42.700467,49.237020,32.861774,15.210942,calls/second,milliseconds
1552425553,18054,0.155319,0.071195,0.040204,0.011692,0.068356,0.077930,0.091165,0.098668,0.111120,0.155319,43.013253,48.388874,34.234496,16.263538,calls/second,milliseconds
1552425583,19440,0.258353,0.070705,0.040204,0.013622,0.068161,0.075693,0.089082,0.097478,0.105096,0.258353,43.224170,47.669258,35.382598,17.246784,calls/second,milliseconds
1552425613,20772,0.258353,0.071874,0.040204,0.013216,0.068411,0.077956,0.090467,0.098551,0.105393,0.258353,43.298164,46.251013,36.203788,18.123987,calls/second,milliseconds
1552425643,22129,0.258353,0.071723,0.040204,0.011684,0.068235,0.078379,0.089172,0.097062,0.105079,0.165947,43.413033,45.968339,37.086322,19.020504,calls/second,milliseconds
1552425673,23579,0.258353,0.072829,0.040204,0.011503,0.068938,0.079834,0.091021,0.099726,0.107761,0.165947,43.686480,46.512925,38.049200,19.943661,calls/second,milliseconds
1552425703,24822,0.258353,0.071194,0.040027,0.011899,0.068192,0.077788,0.088241,0.095158,0.107761,0.176242,43.567970,44.560775,38.416139,20.665708,calls/second,milliseconds
1552425733,26186,0.258353,0.071226,0.039818,0.011812,0.068148,0.078365,0.089142,0.098005,0.111448,0.176242,43.661921,45.267218,39.180052,21.511310,calls/second,milliseconds
1552425763,27553,0.164597,0.072301,0.039818,0.011231,0.068403,0.078923,0.089645,0.100614,0.111448,0.164597,43.752411,44.831042,39.672447,22.261196,calls/second,milliseconds
1552425793,28857,0.172232,0.072762,0.039818,0.014166,0.068499,0.080118,0.094579,0.109951,0.131105,0.172232,43.738518,44.808750,40.172288,23.005108,calls/second,milliseconds
1552425823,30065,0.172232,0.071262,0.039818,0.013262,0.068295,0.077981,0.093346,0.103594,0.117978,0.154094,43.589545,42.860176,40.125258,23.550735,calls/second,milliseconds
1552425853,31330,0.172232,0.071617,0.039818,0.012729,0.068654,0.077249,0.092160,0.103594,0.129633,0.154094,43.530279,43.220924,40.454107,24.206360,calls/second,milliseconds
1552425883,32536,0.154094,0.070176,0.036959,0.013972,0.067765,0.077496,0.091664,0.109329,0.124676,0.153630,43.396976,41.597781,40.356163,24.706935,calls/second,milliseconds
1552425913,33647,0.154094,0.070178,0.036959,0.012093,0.067727,0.073918,0.090054,0.101585,0.115115,0.146367,43.152209,40.076005,40.106473,25.133979,calls/second,milliseconds
1552425943,34653,0.154094,0.069769,0.036959,0.010857,0.067770,0.074424,0.088212,0.094747,0.103594,0.139378,42.793720,37.866381,39.587447,25.447071,calls/second,milliseconds
1552425973,35625,0.232858,0.070440,0.036959,0.015264,0.067877,0.074316,0.088611,0.105520,0.115115,0.232858,42.422755,35.500366,38.824352,25.646256,calls/second,milliseconds
